T          	Er(t)      	Ephi(t)    	Ez(t)      	Hr(t)      	Hphi(t)    	Hz(t)      	Jr(t)      	Jphi(t)    	Jz(t)      
0          	0          	0          	0          	0          	0          	0          	0.502024   	-0.502024  	0          	
0.0098     	0          	1.23663e-015	0          	0          	0          	1.47612e-007	0.498556   	-0.498556  	0          	
0.0196     	1.72714e-018	4.9362e-015	0          	0          	0          	6.99718e-007	0.495088   	-0.495088  	0          	
0.0294     	9.91421e-018	1.23137e-014	0          	0          	0          	1.96582e-006	0.491619   	-0.491619  	0          	
0.0392     	3.29153e-017	2.45731e-014	0          	0          	0          	4.25893e-006	0.48815    	-0.48815   	0          	
0.049      	8.27471e-017	4.29076e-014	0          	0          	0          	7.87145e-006	0.484681   	-0.484681  	0          	
0.0588     	1.74847e-016	6.85004e-014	0          	0          	0          	1.30764e-005	0.481212   	-0.481212  	0          	
0.0686     	3.27848e-016	1.02525e-013	0          	0          	0          	2.01411e-005	0.477744   	-0.477744  	0          	
0.0784     	5.63509e-016	1.46142e-013	0          	0          	0          	2.9338e-005	0.474277   	-0.474276  	0          	
0.0882     	9.06779e-016	2.00502e-013	0          	0          	0          	4.0945e-005	0.47081    	-0.47081   	0          	
0.098      	1.38586e-015	2.66745e-013	0          	0          	0          	5.52386e-005	0.467344   	-0.467344  	0          	
0.1078     	2.03218e-015	3.45998e-013	0          	0          	0          	7.24872e-005	0.46388    	-0.463879  	0          	
0.1176     	2.88032e-015	4.39379e-013	0          	0          	0          	9.29509e-005	0.460417   	-0.460415  	0          	
0.1274     	3.96789e-015	5.47992e-013	0          	0          	0          	0.000116886	0.456955   	-0.456953  	0          	
0.1372     	5.33552e-015	6.72933e-013	0          	0          	0          	0.000144548	0.453495   	-0.453493  	0          	
0.147      	7.02681e-015	8.15284e-013	0          	0          	0          	0.000176195	0.450037   	-0.450034  	0          	
0.1568     	9.08838e-015	9.76116e-013	0          	0          	0          	0.000212081	0.44658    	-0.446577  	0          	
0.1666     	1.15698e-014	1.15649e-012	0          	0          	0          	0.000252454	0.443126   	-0.443122  	0          	
0.1764     	1.45237e-014	1.35745e-012	0          	0          	0          	0.000297558	0.439675   	-0.439669  	0          	
0.1862     	1.80053e-014	1.58003e-012	0          	0          	0          	0.000347632	0.436226   	-0.436219  	0          	
0.196      	2.20727e-014	1.82526e-012	0          	0          	0          	0.000402914	0.432779   	-0.432771  	0          	
0.2058     	2.67871e-014	2.09415e-012	0          	0          	0          	0.00046364 	0.429336   	-0.429326  	0          	
0.2156     	3.22119e-014	2.3877e-012	0          	0          	0          	0.000530045	0.425895   	-0.425883  	0          	
0.2254     	3.84137e-014	2.70689e-012	0          	0          	0          	0.000602359	0.422458   	-0.422444  	0          	
0.2352     	4.54616e-014	3.05271e-012	0          	0          	0          	0.000680805	0.419024   	-0.419007  	0          	
0.245      	5.34274e-014	3.42611e-012	0          	0          	0          	0.000765604	0.415594   	-0.415574  	0          	
0.2548     	6.23854e-014	3.82804e-012	0          	0          	0          	0.000856975	0.412168   	-0.412144  	0          	
0.2646     	7.24124e-014	4.25945e-012	0          	0          	0          	0.000955135	0.408745   	-0.408718  	0          	
0.2744     	8.3588e-014	4.72125e-012	0          	0          	0          	0.0010603  	0.405326   	-0.405295  	0          	
0.2842     	9.59941e-014	5.21436e-012	0          	0          	0          	0.00117267 	0.401912   	-0.401877  	0          	
0.294      	1.09715e-013	5.73969e-012	0          	0          	0          	0.00129246 	0.398502   	-0.398462  	0          	
0.3038     	1.24837e-013	6.29811e-012	0          	0          	0          	0.00141987 	0.395097   	-0.395051  	0          	
0.3136     	1.41451e-013	6.8905e-012	0          	0          	0          	0.0015551  	0.391696   	-0.391645  	0          	
0.3234     	1.59646e-013	7.51773e-012	0          	0          	0          	0.00169834 	0.388301   	-0.388243  	0          	
0.3332     	1.79518e-013	8.18064e-012	0          	0          	0          	0.00184978 	0.38491    	-0.384845  	0          	
0.343      	2.01161e-013	8.88006e-012	0          	0          	0          	0.00200963 	0.381525   	-0.381452  	0          	
0.3528     	2.24675e-013	9.61683e-012	0          	0          	0          	0.00217805 	0.378145   	-0.378064  	0          	
0.3626     	2.50159e-013	1.03917e-011	0          	0          	0          	0.00235523 	0.374771   	-0.374681  	0          	
0.3724     	2.77717e-013	1.12056e-011	0          	0          	0          	0.00254136 	0.371402   	-0.371302  	0          	
0.3822     	3.07452e-013	1.20592e-011	0          	0          	0          	0.0027366  	0.368039   	-0.367929  	0          	
0.392      	3.39472e-013	1.29532e-011	0          	0          	0          	0.00294113 	0.364683   	-0.364562  	0          	
0.4018     	3.73884e-013	1.38886e-011	0          	0          	0          	0.00315511 	0.361332   	-0.361199  	0          	
0.4116     	4.10801e-013	1.48659e-011	0          	0          	0          	0.00337871 	0.357988   	-0.357843  	0          	
0.4214     	4.50333e-013	1.58859e-011	0          	0          	0          	0.0036121  	0.354651   	-0.354492  	0          	
0.4312     	4.92597e-013	1.69493e-011	0          	0          	0          	0.00385542 	0.35132    	-0.351146  	0          	
0.441      	5.37707e-013	1.80569e-011	0          	0          	0          	0.00410884 	0.347996   	-0.347807  	0          	
0.4508     	5.85783e-013	1.92093e-011	0          	0          	0          	0.0043725  	0.34468    	-0.344474  	0          	
0.4606     	6.36944e-013	2.04072e-011	0          	0          	0          	0.00464655 	0.34137    	-0.341147  	0          	
0.4704     	6.91311e-013	2.16513e-011	0          	0          	0          	0.00493114 	0.338068   	-0.337826  	0          	
0.4802     	7.49008e-013	2.29421e-011	0          	0          	0          	0.0052264  	0.334773   	-0.334512  	0          	
0.49       	8.10159e-013	2.42804e-011	0          	0          	0          	0.00553247 	0.331486   	-0.331204  	0          	
0.4998     	8.74892e-013	2.56667e-011	0          	0          	0          	0.00584948 	0.328206   	-0.327903  	0          	
0.5096     	9.43334e-013	2.71016e-011	0          	0          	0          	0.00617756 	0.324935   	-0.324609  	0          	
0.5194     	1.01561e-012	2.85858e-011	0          	0          	0          	0.00651684 	0.321672   	-0.321322  	0          	
0.5292     	1.09187e-012	3.01197e-011	0          	0          	0          	0.00686744 	0.318417   	-0.318041  	0          	
0.539      	1.17222e-012	3.1704e-011	0          	0          	0          	0.00722947 	0.31517    	-0.314768  	0          	
0.5488     	1.25681e-012	3.33393e-011	0          	0          	0          	0.00760306 	0.311932   	-0.311502  	0          	
0.5586     	1.34577e-012	3.50259e-011	0          	0          	0          	0.0079883  	0.308703   	-0.308244  	0          	
0.5684     	1.43923e-012	3.67645e-011	0          	0          	0          	0.00838532 	0.305483   	-0.304992  	0          	
0.5782     	1.53735e-012	3.85556e-011	0          	0          	0          	0.00879421 	0.302271   	-0.301749  	0          	
0.588      	1.64024e-012	4.03996e-011	0          	0          	0          	0.00921507 	0.299069   	-0.298513  	0          	
0.5978     	1.74807e-012	4.22969e-011	0          	0          	0          	0.009648   	0.295876   	-0.295285  	0          	
0.6076     	1.86095e-012	4.42482e-011	0          	0          	0          	0.0100931  	0.292693   	-0.292065  	0          	
0.6174     	1.97905e-012	4.62537e-011	0          	0          	0          	0.0105504  	0.289519   	-0.288853  	0          	
0.6272     	2.10249e-012	4.83139e-011	0          	0          	0          	0.0110201  	0.286355   	-0.285649  	0          	
0.637      	2.23143e-012	5.04293e-011	0          	0          	0          	0.0115022  	0.2832     	-0.282454  	0          	
0.6468     	2.36601e-012	5.26003e-011	0          	0          	0          	0.0119968  	0.280056   	-0.279266  	0          	
0.6566     	2.50638e-012	5.48271e-011	0          	0          	0          	0.0125039  	0.276922   	-0.276087  	0          	
0.6664     	2.65268e-012	5.71102e-011	0          	0          	0          	0.0130237  	0.273798   	-0.272917  	0          	
0.6762     	2.80507e-012	5.94499e-011	0          	0          	0          	0.0135562  	0.270685   	-0.269755  	0          	
0.686      	2.96368e-012	6.18465e-011	0          	0          	0          	0.0141014  	0.267582   	-0.266603  	0          	
0.6958     	3.12868e-012	6.43005e-011	0          	0          	0          	0.0146595  	0.26449    	-0.263458  	0          	
0.7056     	3.3002e-012	6.6812e-011	0          	0          	0          	0.0152304  	0.261409   	-0.260323  	0          	
0.7154     	3.4784e-012	6.93814e-011	0          	0          	0          	0.0158143  	0.258339   	-0.257197  	0          	
0.7252     	3.66344e-012	7.20089e-011	0          	0          	0          	0.0164111  	0.25528    	-0.25408   	0          	
0.735      	3.85546e-012	7.46948e-011	0          	0          	0          	0.017021   	0.252232   	-0.250973  	0          	
0.7448     	4.05461e-012	7.74394e-011	0          	0          	0          	0.0176439  	0.249195   	-0.247874  	0          	
0.7546     	4.26106e-012	8.02428e-011	0          	0          	0          	0.0182799  	0.24617    	-0.244786  	0          	
0.7644     	4.47494e-012	8.31053e-011	0          	0          	0          	0.0189291  	0.243156   	-0.241706  	0          	
0.7742     	4.69642e-012	8.60271e-011	0          	0          	0          	0.0195914  	0.240155   	-0.238636  	0          	
0.784      	4.92565e-012	8.90083e-011	0          	0          	0          	0.0202668  	0.237165   	-0.235576  	0          	
0.7938     	5.16278e-012	9.20491e-011	0          	0          	0          	0.0209555  	0.234187   	-0.232526  	0          	
0.8036     	5.40797e-012	9.51497e-011	0          	0          	0          	0.0216574  	0.231221   	-0.229486  	0          	
0.8134     	5.66138e-012	9.83101e-011	0          	0          	0          	0.0223725  	0.228267   	-0.226455  	0          	
0.8232     	5.92315e-012	1.01531e-010	0          	0          	0          	0.0231008  	0.225326   	-0.223435  	0          	
0.833      	6.19344e-012	1.04811e-010	0          	0          	0          	0.0238424  	0.222397   	-0.220425  	0          	
0.8428     	6.47241e-012	1.08152e-010	0          	0          	0          	0.0245973  	0.219481   	-0.217425  	0          	
0.8526     	6.76021e-012	1.11553e-010	0          	0          	0          	0.0253653  	0.216577   	-0.214435  	0          	
0.8624     	7.057e-012 	1.15014e-010	0          	0          	0          	0.0261467  	0.213686   	-0.211456  	0          	
0.8722     	7.36293e-012	1.18536e-010	0          	0          	0          	0.0269412  	0.210808   	-0.208487  	0          	
0.882      	7.67815e-012	1.22118e-010	0          	0          	0          	0.0277489  	0.207943   	-0.205529  	0          	
0.8918     	8.00283e-012	1.2576e-010	0          	0          	0          	0.0285699  	0.205091   	-0.202581  	0          	
0.9016     	8.33711e-012	1.29463e-010	0          	0          	0          	0.029404   	0.202253   	-0.199645  	0          	
0.9114     	8.68115e-012	1.33226e-010	0          	0          	0          	0.0302512  	0.199427   	-0.196719  	0          	
