T          	Er(t)      	Ephi(t)    	Hz(t)      	Jr(t)      	Jphi(t)    
0          	0          	0          	0          	0.512241   	-0.512241  
0.00735    	0          	2.88542e-018	4.80903e-029	0.500932   	-0.500932  
0.0147     	5.00941e-031	1.14777e-017	2.3938e-028	0.489858   	-0.489858  
0.02205    	2.99449e-030	2.85355e-017	7.14941e-028	0.479014   	-0.479014  
0.0294     	1.04418e-029	5.67556e-017	1.66076e-027	0.468396   	-0.468395  
0.03675    	2.77414e-029	9.87739e-017	3.3067e-027	0.457998   	-0.457998  
0.0441     	6.21862e-029	1.57167e-016	5.9255e-027	0.447817   	-0.447817  
0.05145    	1.2391e-028	2.34452e-016	9.83174e-027	0.437848   	-0.437848  
0.0588     	2.26324e-028	3.33089e-016	1.53809e-026	0.428086   	-0.428086  
0.06615    	3.86541e-028	4.5548e-016	2.29682e-026	0.418528   	-0.418527  
0.0735     	6.25793e-028	6.03973e-016	3.30279e-026	0.409169   	-0.409167  
0.08085    	9.69833e-028	7.80859e-016	4.60321e-026	0.400005   	-0.400002  
0.0882     	1.44933e-027	9.88377e-016	6.24899e-026	0.391031   	-0.391028  
0.09555    	2.10027e-027	1.22871e-015	8.29466e-026	0.382245   	-0.38224   
0.1029     	2.9643e-027	1.50399e-015	1.07982e-025	0.373642   	-0.373636  
0.11025    	4.08911e-027	1.8163e-015	1.38211e-025	0.365218   	-0.365211  
0.1176     	5.52881e-027	2.16767e-015	1.74282e-025	0.356971   	-0.356961  
0.12495    	7.34425e-027	2.56008e-015	2.16873e-025	0.348895   	-0.348883  
0.1323     	9.60334e-027	2.99545e-015	2.66697e-025	0.340989   	-0.340973  
0.13965    	1.23814e-026	3.47568e-015	3.24496e-025	0.333247   	-0.333228  
0.147      	1.57616e-026	4.00259e-015	3.91042e-025	0.325667   	-0.325644  
0.15435    	1.9835e-026	4.57797e-015	4.67135e-025	0.318246   	-0.318218  
0.1617     	2.47009e-026	5.20357e-015	5.53604e-025	0.310981   	-0.310947  
0.16905    	3.04676e-026	5.88108e-015	6.51304e-025	0.303867   	-0.303828  
0.1764     	3.72521e-026	6.61216e-015	7.61119e-025	0.296903   	-0.296857  
0.18375    	4.51804e-026	7.3984e-015	8.83955e-025	0.290085   	-0.290031  
0.1911     	5.43882e-026	8.24137e-015	1.02074e-024	0.28341    	-0.283347  
0.19845    	6.5021e-026	9.14259e-015	1.17244e-024	0.276875   	-0.276803  
0.2058     	7.7234e-026	1.01035e-014	1.34003e-024	0.270478   	-0.270396  
0.21315    	9.11926e-026	1.11257e-014	1.52451e-024	0.264215   	-0.264122  
0.2205     	1.07073e-025	1.22104e-014	1.7269e-024	0.258084   	-0.257979  
0.22785    	1.25061e-025	1.3359e-014	1.94825e-024	0.252083   	-0.251964  
0.2352     	1.45356e-025	1.45728e-014	2.18961e-024	0.246208   	-0.246074  
0.24255    	1.68164e-025	1.58531e-014	2.45208e-024	0.240457   	-0.240308  
0.2499     	1.93707e-025	1.72012e-014	2.73675e-024	0.234828   	-0.234661  
0.25725    	2.22214e-025	1.86183e-014	3.04474e-024	0.229318   	-0.229133  
0.2646     	2.5393e-025	2.01054e-014	3.37718e-024	0.223925   	-0.22372   
0.27195    	2.89109e-025	2.16638e-014	3.73524e-024	0.218647   	-0.21842   
0.2793     	3.28018e-025	2.32945e-014	4.12006e-024	0.21348    	-0.213231  
0.28665    	3.70936e-025	2.49986e-014	4.53284e-024	0.208424   	-0.20815   
0.294      	4.18153e-025	2.6777e-014	4.97477e-024	0.203475   	-0.203175  
0.30135    	4.69973e-025	2.86309e-014	5.44705e-024	0.198632   	-0.198305  
0.3087     	5.26713e-025	3.0561e-014	5.95092e-024	0.193893   	-0.193536  
0.31605    	5.88702e-025	3.25684e-014	6.48759e-024	0.189255   	-0.188866  
0.3234     	6.56281e-025	3.46539e-014	7.05832e-024	0.184716   	-0.184295  
0.33075    	7.29805e-025	3.68183e-014	7.66436e-024	0.180275   	-0.179819  
0.3381     	8.09642e-025	3.90626e-014	8.30697e-024	0.17593    	-0.175436  
