T          	Er(t)      	Ephi(t)    	Ez(t)      	Hr(t)      	Hphi(t)    	Hz(t)      	Jr(t)      	Jphi(t)    	Jz(t)      
0          	0          	0          	0          	0          	0          	0          	0.502395   	-0.502395  	0          	
0.0096     	0          	0          	0          	0          	0          	0          	0.498513   	-0.498513  	0          	
0.0192     	0          	3.96336e-016	0          	0          	0          	1.98168e-016	0.494638   	-0.494638  	0          	
0.0288     	6.27114e-019	2.17548e-015	0          	0          	0          	1.23605e-015	0.490769   	-0.490769  	0          	
0.0384     	4.53867e-018	6.83267e-015	0          	0          	0          	4.30401e-015	0.486907   	-0.486907  	0          	
0.048      	1.81589e-017	1.61058e-014	0          	0          	0          	1.10221e-014	0.483052   	-0.483052  	0          	
0.0576     	5.30389e-017	3.17038e-014	0          	0          	0          	2.31696e-014	0.479205   	-0.479205  	0          	
0.0672     	1.2636e-016	5.51744e-014	0          	0          	0          	4.24318e-014	0.475364   	-0.475364  	0          	
0.0768     	2.60638e-016	8.79345e-014	0          	0          	0          	7.02988e-014	0.471531   	-0.471531  	0          	
0.0864     	4.83103e-016	1.31381e-013	0          	0          	0          	1.08131e-013	0.467705   	-0.467705  	0          	
0.096      	8.25289e-016	1.86968e-013	0          	0          	0          	1.57289e-013	0.463887   	-0.463887  	0          	
0.1056     	1.32304e-015	2.56202e-013	0          	0          	0          	2.19217e-013	0.460077   	-0.460076  	0          	
0.1152     	2.01676e-015	3.40582e-013	0          	0          	0          	2.95412e-013	0.456275   	-0.456273  	0          	
0.1248     	2.95161e-015	4.41539e-013	0          	0          	0          	3.87352e-013	0.45248    	-0.452478  	0          	
0.1344     	4.17741e-015	5.60446e-013	0          	0          	0          	4.96426e-013	0.448694   	-0.448692  	0          	
0.144      	5.74838e-015	6.98651e-013	0          	0          	0          	6.23955e-013	0.444916   	-0.444913  	0          	
0.1536     	7.72292e-015	8.5752e-013	0          	0          	0          	7.71237e-013	0.441147   	-0.441143  	0          	
0.1632     	1.01635e-014	1.03843e-012	0          	0          	0          	9.396e-013 	0.437386   	-0.43738   	0          	
0.1728     	1.3137e-014	1.24277e-012	0          	0          	0          	1.1304e-012	0.433634   	-0.433627  	0          	
0.1824     	1.67142e-014	1.47184e-012	0          	0          	0          	1.34495e-012	0.429891   	-0.429882  	0          	
0.192      	2.09703e-014	1.72694e-012	0          	0          	0          	1.58456e-012	0.426156   	-0.426146  	0          	
0.2016     	2.59848e-014	2.00933e-012	0          	0          	0          	1.85042e-012	0.422431   	-0.422418  	0          	
0.2112     	3.18405e-014	2.32028e-012	0          	0          	0          	2.14376e-012	0.418715   	-0.4187    	0          	
0.2208     	3.86246e-014	2.66105e-012	0          	0          	0          	2.46577e-012	0.415008   	-0.41499   	0          	
0.2304     	4.64277e-014	3.03291e-012	0          	0          	0          	2.81769e-012	0.411311   	-0.41129   	0          	
0.24       	5.53444e-014	3.43705e-012	0          	0          	0          	3.20071e-012	0.407624   	-0.407599  	0          	
0.2496     	6.54732e-014	3.87468e-012	0          	0          	0          	3.61598e-012	0.403946   	-0.403917  	0          	
0.2592     	7.69162e-014	4.34696e-012	0          	0          	0          	4.06463e-012	0.400278   	-0.400245  	0          	
0.2688     	8.9779e-014	4.85503e-012	0          	0          	0          	4.54775e-012	0.39662    	-0.396582  	0          	
0.2784     	1.04171e-013	5.40007e-012	0          	0          	0          	5.06643e-012	0.392973   	-0.392929  	0          	
0.288      	1.20204e-013	5.9832e-012	0          	0          	0          	5.62175e-012	0.389336   	-0.389286  	0          	
0.2976     	1.37994e-013	6.60553e-012	0          	0          	0          	6.2148e-012	0.385709   	-0.385652  	0          	
0.3072     	1.57661e-013	7.26815e-012	0          	0          	0          	6.84661e-012	0.382092   	-0.382028  	0          	
0.3168     	1.79327e-013	7.9721e-012	0          	0          	0          	7.51817e-012	0.378487   	-0.378415  	0          	
0.3264     	2.03119e-013	8.71843e-012	0          	0          	0          	8.23047e-012	0.374892   	-0.374811  	0          	
0.336      	2.29165e-013	9.50819e-012	0          	0          	0          	8.98446e-012	0.371308   	-0.371218  	0          	
0.3456     	2.57597e-013	1.03424e-011	0          	0          	0          	9.78112e-012	0.367735   	-0.367635  	0          	
0.3552     	2.8855e-013	1.1222e-011	0          	0          	0          	1.06214e-011	0.364174   	-0.364063  	0          	
0.3648     	3.22162e-013	1.2148e-011	0          	0          	0          	1.15062e-011	0.360623   	-0.3605    	0          	
0.3744     	3.58574e-013	1.31214e-011	0          	0          	0          	1.24363e-011	0.357085   	-0.356949  	0          	
0.384      	3.97929e-013	1.4143e-011	0          	0          	0          	1.34127e-011	0.353557   	-0.353408  	0          	
0.3936     	4.40374e-013	1.52139e-011	0          	0          	0          	1.44362e-011	0.350042   	-0.349878  	0          	
0.4032     	4.86059e-013	1.63348e-011	0          	0          	0          	1.55076e-011	0.346538   	-0.346359  	0          	
0.4128     	5.35133e-013	1.75066e-011	0          	0          	0          	1.66278e-011	0.343047   	-0.34285   	0          	
0.4224     	5.87753e-013	1.87303e-011	0          	0          	0          	1.77974e-011	0.339567   	-0.339353  	0          	
0.432      	6.44074e-013	2.00066e-011	0          	0          	0          	1.90174e-011	0.3361     	-0.335867  	0          	
0.4416     	7.04255e-013	2.13364e-011	0          	0          	0          	2.02883e-011	0.332645   	-0.332391  	0          	
0.4512     	7.68459e-013	2.27204e-011	0          	0          	0          	2.16109e-011	0.329202   	-0.328927  	0          	
0.4608     	8.36848e-013	2.41594e-011	0          	0          	0          	2.29859e-011	0.325772   	-0.325475  	0          	
0.4704     	9.09588e-013	2.56541e-011	0          	0          	0          	2.44139e-011	0.322354   	-0.322034  	0          	
0.48       	9.86847e-013	2.72054e-011	0          	0          	0          	2.58958e-011	0.31895    	-0.318604  	0          	
0.4896     	1.0688e-012	2.88138e-011	0          	0          	0          	2.74319e-011	0.315558   	-0.315186  	0          	
0.4992     	1.15561e-012	3.04801e-011	0          	0          	0          	2.9023e-011	0.31218    	-0.311779  	0          	
0.5088     	1.24745e-012	3.2205e-011	0          	0          	0          	3.06697e-011	0.308814   	-0.308384  	0          	
0.5184     	1.34451e-012	3.39891e-011	0          	0          	0          	3.23724e-011	0.305462   	-0.305001  	0          	
0.528      	1.44695e-012	3.5833e-011	0          	0          	0          	3.41318e-011	0.302123   	-0.30163   	0          	
0.5376     	1.55496e-012	3.77373e-011	0          	0          	0          	3.59483e-011	0.298798   	-0.29827   	0          	
0.5472     	1.66872e-012	3.97026e-011	0          	0          	0          	3.78225e-011	0.295486   	-0.294923  	0          	
0.5568     	1.78842e-012	4.17294e-011	0          	0          	0          	3.97548e-011	0.292188   	-0.291587  	0          	
0.5664     	1.91422e-012	4.38184e-011	0          	0          	0          	4.17457e-011	0.288904   	-0.288264  	0          	
0.576      	2.04633e-012	4.59699e-011	0          	0          	0          	4.37955e-011	0.285634   	-0.284953  	0          	
0.5856     	2.18492e-012	4.81846e-011	0          	0          	0          	4.59048e-011	0.282378   	-0.281654  	0          	
0.5952     	2.33019e-012	5.04629e-011	0          	0          	0          	4.80739e-011	0.279136   	-0.278368  	0          	
0.6048     	2.48232e-012	5.28052e-011	0          	0          	0          	5.0303e-011	0.275908   	-0.275093  	0          	
0.6144     	2.64151e-012	5.52119e-011	0          	0          	0          	5.25927e-011	0.272695   	-0.271832  	0          	
0.624      	2.80794e-012	5.76836e-011	0          	0          	0          	5.49432e-011	0.269496   	-0.268582  	0          	
0.6336     	2.98181e-012	6.02205e-011	0          	0          	0          	5.73547e-011	0.266312   	-0.265346  	0          	
0.6432     	3.16332e-012	6.2823e-011	0          	0          	0          	5.98276e-011	0.263142   	-0.262121  	0          	
0.6528     	3.35264e-012	6.54915e-011	0          	0          	0          	6.23621e-011	0.259988   	-0.25891   	0          	
0.6624     	3.54999e-012	6.82262e-011	0          	0          	0          	6.49584e-011	0.256848   	-0.255711  	0          	
0.672      	3.75556e-012	7.10276e-011	0          	0          	0          	6.76168e-011	0.253723   	-0.252525  	0          	
