r          	Er(r)      	Ephi(r)    	Ez(r)      	Hr(r)      	Hphi(r)    	Hz(r)      	Jr(r)      	Jphi(r)    	Jz(r)      
0.588      	-4.1102e-13	3.65039e-13	3.40882e-19	2.69058e-19	5.77657e-19	-1.02072e-13	-9.42166e-06	2.32376e-06	-4.34817e-12
1.176      	-5.1735e-13	6.7007e-13 	7.5998e-20 	3.01391e-19	4.49863e-19	-3.30799e-13	-1.20977e-05	4.82316e-06	-8.46674e-14
1.764      	-5.06627e-13	4.85186e-13	-2.79485e-19	7.51595e-20	-3.60193e-19	2.89491e-13	-1.20361e-05	1.19114e-05	-6.75994e-12
2.352      	-4.71106e-13	3.6453e-13 	2.48375e-19	1.72611e-19	4.85526e-19	-2.2858e-13	-1.16968e-05	1.06775e-05	-7.47612e-12
2.94       	-5.10762e-13	6.69389e-13	-1.69465e-19	1.72172e-19	1.10058e-19	-6.76177e-14	-1.19342e-05	1.28845e-05	-6.93491e-12
3.528      	-4.84276e-13	3.51845e-13	2.27284e-20	1.23141e-19	-4.69631e-20	7.12617e-14	-1.28402e-05	1.73689e-05	-1.28831e-11
4.116      	-5.01878e-13	6.07493e-13	3.0721e-20 	1.86874e-19	4.97513e-19	-3.22094e-13	-1.33482e-05	1.6398e-05 	-9.71495e-12
4.704      	-4.98115e-13	4.71775e-13	-1.19781e-19	1.26428e-19	-2.53598e-19	1.51889e-13	-1.46238e-05	2.35519e-05	-1.61576e-11
5.292      	-5.00478e-13	5.19378e-13	8.31785e-20	1.73641e-19	5.33766e-19	-3.57003e-13	-1.5596e-05	2.33722e-05	-1.37579e-11
5.88       	-5.06919e-13	5.64919e-13	-1.13964e-19	1.40155e-19	-1.81664e-19	5.0522e-14 	-1.7071e-05	3.03504e-05	-1.8757e-11
6.468      	-4.8924e-13	4.94915e-13	1.82799e-20	1.59663e-19	3.84895e-19	-2.7346e-13	-2.93272e-05	3.24353e-05	-1.76409e-11
7.056      	-5.35216e-13	5.94692e-13	-2.94724e-20	1.49353e-19	-1.41236e-20	-1.19213e-13	-7.37214e-05	3.78247e-05	-2.02576e-11
7.644      	-8.86316e-13	5.33095e-13	-8.48242e-20	1.50078e-19	2.06245e-19	-1.70463e-13	-0.000144647	4.40009e-05	-1.92053e-11
8.232      	-1.61719e-12	6.12401e-13	6.7172e-20 	1.49197e-19	1.36421e-19	-2.79316e-13	-0.000129301	5.22845e-05	-2.00206e-11
8.82       	-1.61323e-12	7.02193e-13	-1.79013e-19	1.44977e-19	7.09554e-20	-9.6106e-14	0.000134837	5.71243e-05	-1.8996e-11
9.408      	4.92198e-13	7.21395e-13	1.3173e-19 	1.54495e-19	2.3168e-19 	-3.9654e-13	0.000355007	4.28568e-05	-1.79063e-11
9.996      	6.35035e-13	7.74332e-13	-2.44765e-19	1.50945e-19	-4.49232e-21	-6.0856e-14	-0.000159759	2.10415e-05	-1.44393e-11
10.584     	-5.42387e-12	5.60849e-13	1.76066e-19	1.37228e-19	2.75234e-19	-4.6942e-13	-0.000428213	2.53246e-05	-1.259e-11 
11.172     	9.12686e-13	1.0341e-12 	-2.85664e-19	1.52465e-19	-3.11175e-20	-5.63935e-14	0.0011333  	3.69234e-05	-1.11747e-11
11.76      	1.37265e-11	7.20054e-13	1.67686e-19	1.77462e-19	2.82036e-19	-5.05257e-13	0.00070904 	-1.28233e-05	-7.54276e-12
12.348     	-6.082e-11 	3.2063e-13 	-2.68345e-19	2.53221e-20	-2.34305e-20	-8.16591e-14	-0.00336622	-2.54936e-05	-2.39191e-12
12.936     	-1.72737e-10	2.79413e-12	2.33427e-19	-1.98187e-19	2.66334e-19	-5.14998e-13	-0.00330076	5.88244e-05	-5.18527e-13
13.524     	-9.72567e-11	1.05196e-11	-2.26225e-19	-3.23384e-20	-2.13139e-20	-5.27547e-14	-0.000429121	5.07049e-05	-1.06105e-13
14.112     	1.08265e-11	1.38185e-11	2.23294e-19	1.61511e-19	2.25662e-19	-4.10102e-13	0          	0          	0          
14.7       	9.86573e-12	1.31997e-11	-2.18065e-19	1.69453e-19	3.12732e-22	3.50027e-14	0          	0          	0          
15.288     	9.02573e-12	1.19756e-11	2.05619e-19	1.54804e-19	2.09185e-19	-2.93795e-13	0          	0          	0          
15.876     	8.26224e-12	1.15814e-11	-2.08566e-19	1.65655e-19	2.75841e-20	1.16945e-13	0          	0          	0          
16.464     	7.59113e-12	1.0525e-11 	1.88547e-19	1.50462e-19	1.95413e-19	-1.85451e-13	0          	0          	0          
17.052     	6.97447e-12	1.02925e-11	-2.00412e-19	1.63173e-19	4.90137e-20	1.96724e-13	0          	0          	0          
