T          	Er(t)      	Ephi(t)    	Ez(t)      	Hr(t)      	Hphi(t)    	Hz(t)      	Jr(t)      	Jphi(t)    	Jz(t)      
0          	0          	0          	0          	0          	0          	0          	0.48971    	-0.48971   	0          	
0.0294     	0          	0          	0          	0          	0          	0          	0.47942    	-0.47942   	0          	
0.0588     	0          	9.86118e-14	0          	4.31046e-21	4.49006e-21	4.93059e-14	0.469136   	-0.469135  	-1.08984e-12	
0.0882     	9.86118e-16	5.37047e-13	-2.33124e-21	2.34285e-20	2.43219e-20	3.0499e-13 	0.458862   	-0.458858  	-4.29709e-12	
0.1176     	7.08593e-15	1.67078e-12	-1.43547e-20	7.26985e-20	7.51744e-20	1.05133e-12	0.448606   	-0.448595  	-1.0572e-11	
0.147      	2.81125e-14	3.89479e-12	-4.92198e-20	1.68929e-19	1.73956e-19	2.6605e-12 	0.438374   	-0.438348  	-2.07739e-11	
0.1764     	8.13226e-14	7.57062e-12	-1.23842e-19	3.27127e-19	3.355e-19  	5.51679e-12	0.428174   	-0.428122  	-3.56583e-11	
0.2058     	1.91658e-13	1.29919e-11	-2.55305e-19	5.58992e-19	5.71211e-19	9.94935e-12	0.418012   	-0.41792   	-5.58666e-11	
0.2352     	3.90645e-13	2.0392e-11 	-4.57893e-19	8.73303e-19	8.89664e-19	1.62073e-11	0.407898   	-0.407746  	-8.19169e-11	
0.2646     	7.14792e-13	2.99701e-11	-7.42247e-19	1.27713e-18	1.29787e-18	2.44772e-11	0.397838   	-0.397602  	-1.14197e-10	
0.294      	1.20434e-12	4.19063e-11	-1.1164e-18	1.77655e-18	1.80187e-18	3.49143e-11	0.387841   	-0.387493  	-1.52959e-10	
0.3234     	1.90262e-12	5.63554e-11	-1.58719e-18	2.3764e-18 	2.40628e-18	4.7658e-11 	0.377916   	-0.37742   	-1.98316e-10	
0.3528     	2.85578e-12	7.3428e-11 	-2.16078e-18	3.07945e-18	3.11339e-18	6.28206e-11	0.36807    	-0.367386  	-2.50248e-10	
0.3822     	4.11219e-12	9.31784e-11	-2.84182e-18	3.88593e-18	3.9228e-18 	8.04656e-11	0.35831    	-0.357393  	-3.08603e-10	
0.4116     	5.72151e-12	1.15607e-10	-3.6325e-18	4.79365e-18	4.83165e-18	1.00595e-10	0.348645   	-0.347442  	-3.73116e-10	
0.441      	7.7334e-12 	1.40671e-10	-4.53207e-18	5.7986e-18 	5.83535e-18	1.23153e-10	0.339083   	-0.337536  	-4.4343e-10	
0.4704     	1.01965e-11	1.68296e-10	-5.53739e-18	6.89537e-18	6.9279e-18 	1.48049e-10	0.329628   	-0.327675  	-5.19134e-10	
0.4998     	1.31574e-11	1.98373e-10	-6.64372e-18	8.07722e-18	8.10176e-18	1.75159e-10	0.32029    	-0.317861  	-5.99795e-10	
0.5292     	1.66606e-11	2.30754e-10	-7.84509e-18	9.33574e-18	9.34753e-18	2.04333e-10	0.311072   	-0.308094  	-6.8499e-10	
0.5586     	2.07473e-11	2.65247e-10	-9.13397e-18	1.06608e-17	1.0654e-17 	2.35382e-10	0.301982   	-0.298377  	-7.74324e-10	
0.588      	2.54549e-11	3.01623e-10	-1.05009e-17	1.20408e-17	1.20083e-17	2.68073e-10	0.293025   	-0.288712  	-8.67431e-10	
0.6174     	3.08164e-11	3.39624e-10	-1.19344e-17	1.34632e-17	1.3397e-17 	3.02138e-10	0.284206   	-0.279099  	-9.63962e-10	
0.6468     	3.68592e-11	3.78973e-10	-1.34215e-17	1.49148e-17	1.48059e-17	3.3729e-10 	0.275529   	-0.269542  	-1.06357e-09	
0.6762     	4.3605e-11 	4.1938e-10 	-1.49487e-17	1.6382e-17 	1.62205e-17	3.73227e-10	0.266999   	-0.260042  	-1.1659e-09	
0.7056     	5.10695e-11	4.60537e-10	-1.65017e-17	1.7851e-17 	1.76257e-17	4.09642e-10	0.25862    	-0.250601  	-1.27058e-09	
0.735      	5.92623e-11	5.02124e-10	-1.80662e-17	1.93075e-17	1.90062e-17	4.46215e-10	0.250395   	-0.241222  	-1.37725e-09	
0.7644     	6.81866e-11	5.43817e-10	-1.96271e-17	2.07375e-17	2.03472e-17	4.82621e-10	0.242329   	-0.231908  	-1.48553e-09	
0.7938     	7.78391e-11	5.85301e-10	-2.11691e-17	2.21274e-17	2.16349e-17	5.18535e-10	0.234424   	-0.222662  	-1.59506e-09	
0.8232     	8.82098e-11	6.26285e-10	-2.26776e-17	2.34653e-17	2.28574e-17	5.53653e-10	0.226683   	-0.213489  	-1.70539e-09	
0.8526     	9.92828e-11	6.66513e-10	-2.41392e-17	2.47409e-17	2.40052e-17	5.87704e-10	0.219108   	-0.204396  	-1.81603e-09	
0.882      	1.11037e-10	7.05775e-10	-2.55428e-17	2.59463e-17	2.50714e-17	6.20466e-10	0.211701   	-0.19539   	-1.92632e-09	
0.9114     	1.23446e-10	7.43917e-10	-2.68797e-17	2.70759e-17	2.60525e-17	6.51766e-10	0.204463   	-0.186479  	-2.03554e-09	
0.9408     	1.36482e-10	7.80848e-10	-2.81444e-17	2.81273e-17	2.69483e-17	6.81496e-10	0.197397   	-0.177672  	-2.14288e-09	
0.9702     	1.50111e-10	8.16542e-10	-2.93341e-17	2.91009e-17	2.77614e-17	7.09607e-10	0.190502   	-0.16897   	-2.24767e-09	
0.9996     	1.64304e-10	8.51026e-10	-3.04493e-17	2.99993e-17	2.84964e-17	7.36114e-10	0.183778   	-0.16037   	-2.34959e-09	
1.029      	1.79026e-10	8.84354e-10	-3.1493e-17	3.08262e-17	2.91575e-17	7.61073e-10	0.177226   	-0.151861  	-2.44882e-09	
1.0584     	1.94247e-10	9.16574e-10	-3.24692e-17	3.15852e-17	2.97471e-17	7.84553e-10	0.170846   	-0.143423  	-2.5462e-09	
1.0878     	2.09938e-10	9.47697e-10	-3.33807e-17	3.2278e-17 	3.02646e-17	8.06605e-10	0.164637   	-0.135036  	-2.64304e-09	
1.1172     	2.26071e-10	9.77688e-10	-3.42281e-17	3.29044e-17	3.07064e-17	8.27234e-10	0.158602   	-0.126686  	-2.74077e-09	
1.1466     	2.42615e-10	1.00646e-09	-3.50086e-17	3.34621e-17	3.10666e-17	8.46392e-10	0.15274    	-0.118371  	-2.84038e-09	
1.176      	2.59543e-10	1.03391e-09	-3.57165e-17	3.39474e-17	3.1337e-17 	8.63991e-10	0.147054   	-0.110106  	-2.94205e-09	
1.2054     	2.76823e-10	1.05988e-09	-3.6344e-17	3.43557e-17	3.15073e-17	8.79915e-10	0.141544   	-0.101919  	-3.04503e-09	
1.2348     	2.94421e-10	1.08421e-09	-3.68812e-17	3.46817e-17	3.15642e-17	8.94028e-10	0.136209   	-0.093843  	-3.14806e-09	
1.2642     	3.12302e-10	1.10673e-09	-3.73158e-17	3.49196e-17	3.14917e-17	9.06179e-10	0.13105    	-0.0859064 	-3.24993e-09	
1.2936     	3.30425e-10	1.12723e-09	-3.76329e-17	3.50632e-17	3.1274e-17 	9.16202e-10	0.126063   	-0.078124  	-3.34997e-09	
1.323      	3.48749e-10	1.14558e-09	-3.78161e-17	3.51088e-17	3.09026e-17	9.23948e-10	0.121246   	-0.0704984 	-3.44802e-09	
1.3524     	3.67228e-10	1.16175e-09	-3.78522e-17	3.50587e-17	3.03877e-17	9.29353e-10	0.116595   	-0.0630259 	-3.54386e-09	
1.3818     	3.85815e-10	1.176e-09  	-3.77407e-17	3.4927e-17 	2.97695e-17	9.32548e-10	0.112108   	-0.0557047 	-3.63647e-09	
1.4112     	4.04466e-10	1.18898e-09	-3.75051e-17	3.47442e-17	2.91246e-17	9.33987e-10	0.10778    	-0.0485393 	-3.72371e-09	
1.4406     	4.23146e-10	1.20174e-09	-3.7202e-17	3.45578e-17	2.85594e-17	9.34519e-10	0.103609   	-0.0415383 	-3.80278e-09	
1.47       	4.41836e-10	1.21561e-09	-3.69224e-17	3.44254e-17	2.81868e-17	9.35342e-10	0.0995896  	-0.0347075 	-3.8713e-09	
1.4994     	4.60543e-10	1.23183e-09	-3.67768e-17	3.43989e-17	2.80889e-17	9.37763e-10	0.0957193  	-0.0280449 	-3.92836e-09	
1.5288     	4.79298e-10	1.25108e-09	-3.68657e-17	3.45031e-17	2.82785e-17	9.42778e-10	0.0919933  	-0.0215407 	-3.97484e-09	
1.5582     	4.98154e-10	1.27299e-09	-3.72408e-17	3.47163e-17	2.86775e-17	9.50588e-10	0.0884075  	-0.015185  	-4.01263e-09	
1.5876     	5.17166e-10	1.29593e-09	-3.78729e-17	3.49615e-17	2.91269e-17	9.60223e-10	0.0849582  	-0.00897502	-4.0435e-09	
1.617      	5.3637e-10 	1.31719e-09	-3.86435e-17	3.51178e-17	2.94345e-17	9.69517e-10	0.0816417  	-0.00291973	-4.06823e-09	
1.6464     	5.55761e-10	1.3337e-09 	-3.93718e-17	3.50521e-17	2.94436e-17	9.75547e-10	0.0784542  	0.00296448 	-4.08675e-09	
1.6758     	5.75272e-10	1.34302e-09	-3.98734e-17	3.46622e-17	2.90912e-17	9.75481e-10	0.0753916  	0.0086614  	-4.09909e-09	
1.7052     	5.94781e-10	1.34424e-09	-4.00269e-17	3.39149e-17	2.84232e-17	9.67563e-10	0.0724491  	0.0141609  	-4.10619e-09	
1.7346     	6.14132e-10	1.33836e-09	-3.98156e-17	3.28615e-17	2.75513e-17	9.51806e-10	0.0696215  	0.0194583  	-4.10977e-09	
1.764      	6.33169e-10	1.32792e-09	-3.93187e-17	3.16187e-17	2.6569e-17 	9.30047e-10	0.0669034  	0.024549   	-4.11136e-09	
1.7934     	6.5177e-10 	1.31596e-09	-3.86478e-17	3.03231e-17	2.54744e-17	9.05241e-10	0.0642893  	0.0294233  	-4.11106e-09	
1.8228     	6.69874e-10	1.30479e-09	-3.78628e-17	2.90776e-17	2.41516e-17	8.80279e-10	0.0617735  	0.0340664  	-4.10719e-09	
1.8522     	6.8748e-10 	1.29512e-09	-3.69152e-17	2.79164e-17	2.24356e-17	8.56855e-10	0.0593499  	0.038465   	-4.09719e-09	
1.8816     	7.04617e-10	1.28608e-09	-3.56646e-17	2.6808e-17 	2.02321e-17	8.34966e-10	0.0570121  	0.0426142  	-4.079e-09 	
1.911      	7.21316e-10	1.27608e-09	-3.39689e-17	2.56913e-17	1.76219e-17	8.13307e-10	0.0547534  	0.0465191  	-4.05194e-09	
1.9404     	7.37582e-10	1.26395e-09	-3.18039e-17	2.4525e-17 	1.48745e-17	7.90314e-10	0.0525671  	0.0501907  	-4.01632e-09	
1.9698     	7.53389e-10	1.24972e-09	-2.93339e-17	2.33167e-17	1.23456e-17	7.65242e-10	0.0504468  	0.0536387  	-3.97236e-09	
1.9992     	7.68694e-10	1.23452e-09	-2.68778e-17	2.21145e-17	1.03069e-17	7.386e-10  	0.0483865  	0.0568683  	-3.91938e-09	
2.0286     	7.83466e-10	1.21955e-09	-2.4772e-17	2.09648e-17	8.81042e-18	7.11658e-10	0.0463804  	0.0598828  	-3.85614e-09	
2.058      	7.97699e-10	1.20505e-09	-2.32055e-17	1.98667e-17	7.67796e-18	6.8536e-10 	0.044423   	0.0626893  	-3.78215e-09	
2.0874     	8.11406e-10	1.18974e-09	-2.21275e-17	1.87553e-17	6.6282e-18 	6.59382e-10	0.042509   	0.0653021  	-3.69863e-09	
2.1168     	8.24594e-10	1.17141e-09	-2.12946e-17	1.7528e-17 	5.45973e-18	6.32018e-10	0.0406333  	0.0677397  	-3.60833e-09	
2.1462     	8.37234e-10	1.14811e-09	-2.04304e-17	1.61008e-17	4.16269e-18	6.01049e-10	0.0387913  	0.0700184  	-3.51429e-09	
2.1756     	8.49255e-10	1.11932e-09	-1.93934e-17	1.44545e-17	2.87804e-18	5.65033e-10	0.0369792  	0.0721476  	-3.4184e-09	
2.205      	8.60556e-10	1.08618e-09	-1.82359e-17	1.26414e-17	1.7337e-18 	5.24161e-10	0.0351933  	0.0741318  	-3.32124e-09	
2.2344     	8.71039e-10	1.05067e-09	-1.71105e-17	1.07467e-17	6.83886e-19	4.8007e-10 	0.0334306  	0.0759758  	-3.223e-09 	
2.2638     	8.8064e-10 	1.01427e-09	-1.60946e-17	8.8337e-18 	-5.16703e-19	4.34754e-10	0.0316878  	0.0776898  	-3.12462e-09	
2.2932     	8.89335e-10	9.7722e-10 	-1.50687e-17	6.91295e-18	-2.16939e-18	3.89358e-10	0.0299621  	0.0792875  	-3.02799e-09	
2.3226     	8.97123e-10	9.38771e-10	-1.37534e-17	4.95722e-18	-4.41732e-18	3.43726e-10	0.0282509  	0.0807817  	-2.93495e-09	
2.352      	9.03997e-10	8.98269e-10	-1.18904e-17	2.94899e-18	-7.12303e-18	2.97028e-10	0.0265522  	0.0821792  	-2.84594e-09	
2.3814     	9.09938e-10	8.56202e-10	-9.43804e-18	9.21463e-19	-9.93895e-18	2.4893e-10 	0.0248642  	0.0834818  	-2.75973e-09	
2.4108     	9.14916e-10	8.14331e-10	-6.62945e-18	-1.04139e-18	-1.2525e-17	2.00385e-10	0.0231852  	0.0846905  	-2.6744e-09	
2.4402     	9.18924e-10	7.74763e-10	-3.84042e-18	-2.84779e-18	-1.47489e-17	1.53379e-10	0.0215139  	0.0858109  	-2.58879e-09	
2.4696     	9.21992e-10	7.38697e-10	-1.35948e-18	-4.45146e-18	-1.67144e-17	1.09803e-10	0.0198486  	0.086853   	-2.50308e-09	
2.499      	9.24188e-10	7.05813e-10	7.65299e-19	-5.87354e-18	-1.85978e-17	7.03289e-11	0.0181882  	0.0878258  	-2.41809e-09	
2.5284     	9.25594e-10	6.74793e-10	2.68517e-18	-7.17575e-18	-2.04303e-17	3.41612e-11	0.0165317  	0.0887336  	-2.33395e-09	
2.5578     	9.26277e-10	6.44552e-10	4.5519e-18 	-8.4066e-18	-2.20143e-17	-1.22912e-13	0.0148784  	0.089575   	-2.24959e-09	
2.5872     	9.26275e-10	6.15177e-10	6.32822e-18	-9.56407e-18	-2.30508e-17	-3.33328e-11	0.0132276  	0.0903477  	-2.16354e-09	
2.6166     	9.25608e-10	5.87822e-10	7.77108e-18	-1.06044e-17	-2.33799e-17	-6.50137e-11	0.0115788  	0.0910535  	-2.07525e-09	
2.646      	9.24308e-10	5.63671e-10	8.61014e-18	-1.14878e-17	-2.31334e-17	-9.39016e-11	0.00993107 	0.0916984  	-1.98577e-09	
2.6754     	9.2243e-10 	5.42854e-10	8.77804e-18	-1.22222e-17	-2.26644e-17	-1.1908e-10	0.00828392 	0.092289   	-1.89694e-09	
2.7048     	9.20048e-10	5.24249e-10	8.4978e-18 	-1.28655e-17	-2.23046e-17	-1.40858e-10	0.00663688 	0.092828   	-1.80996e-09	
2.7342     	9.17231e-10	5.06336e-10	8.14592e-18	-1.34856e-17	-2.21469e-17	-1.60618e-10	0.0049897  	0.0933134  	-1.72466e-09	
2.7636     	9.14019e-10	4.88383e-10	7.99653e-18	-1.41104e-17	-2.20344e-17	-1.79765e-10	0.00334218 	0.0937427  	-1.64006e-09	
2.793      	9.10424e-10	4.70949e-10	8.05568e-18	-1.47114e-17	-2.17604e-17	-1.98664e-10	0.00169405 	0.0941175  	-1.55573e-09	
