T          	Er(t)      	Ephi(t)    	Hz(t)      	Jr(t)      	Jphi(t)    
0          	0          	0          	0          	0.502891   	-0.502891  
0.00735    	0          	3.60401e-020	6.00668e-031	0.50029    	-0.50029   
0.0147     	1.46504e-033	1.43975e-019	3.00024e-030	0.497689   	-0.497689  
0.02205    	8.78271e-033	3.59473e-019	8.99145e-030	0.495087   	-0.495087  
0.0294     	3.07131e-032	7.18022e-019	2.09584e-029	0.492486   	-0.492486  
0.03675    	8.18311e-032	1.25492e-018	4.18736e-029	0.489884   	-0.489884  
0.0441     	1.83962e-031	2.00529e-018	7.52946e-029	0.487282   	-0.487282  
0.05145    	3.67607e-031	3.00407e-018	1.25362e-028	0.48468    	-0.48468   
0.0588     	6.73367e-031	4.28601e-018	1.96793e-028	0.482079   	-0.482079  
0.06615    	1.15335e-030	5.88569e-018	2.94886e-028	0.479477   	-0.479477  
0.0735     	1.87258e-030	7.83751e-018	4.25506e-028	0.476876   	-0.476876  
0.08085    	2.9104e-030	1.01757e-017	5.95094e-028	0.474276   	-0.474276  
0.0882     	4.36185e-030	1.29342e-017	8.10654e-028	0.471676   	-0.471675  
0.09555    	6.33906e-030	1.6147e-017	1.07976e-027	0.469076   	-0.469076  
0.1029     	8.97261e-030	1.98478e-017	1.41053e-027	0.466477   	-0.466477  
0.11025    	1.24129e-029	2.407e-017 	1.81167e-027	0.463878   	-0.463878  
0.1176     	1.68316e-029	2.88469e-017	2.29241e-027	0.461281   	-0.46128   
0.12495    	2.24229e-029	3.42118e-017	2.86255e-027	0.458684   	-0.458683  
0.1323     	2.94047e-029	4.01976e-017	3.53244e-027	0.456088   	-0.456087  
0.13965    	3.80204e-029	4.68371e-017	4.31296e-027	0.453493   	-0.453491  
0.147      	4.85398e-029	5.41629e-017	5.21556e-027	0.450898   	-0.450897  
0.15435    	6.12607e-029	6.22076e-017	6.2522e-027	0.448305   	-0.448304  
0.1617     	7.65099e-029	7.10034e-017	7.43541e-027	0.445713   	-0.445711  
0.16905    	9.46451e-029	8.05824e-017	8.77821e-027	0.443123   	-0.44312   
0.1764     	1.16055e-028	9.09766e-017	1.02942e-026	0.440533   	-0.440531  
0.18375    	1.41163e-028	1.02218e-016	1.19975e-026	0.437945   	-0.437942  
0.1911     	1.70425e-028	1.14337e-016	1.39027e-026	0.435359   	-0.435355  
0.19845    	2.04334e-028	1.27367e-016	1.6025e-026	0.432773   	-0.432769  
0.2058     	2.4342e-028	1.41338e-016	1.838e-026 	0.43019    	-0.430185  
0.21315    	2.88249e-028	1.56282e-016	2.0984e-026	0.427608   	-0.427602  
0.2205     	3.3943e-028	1.72228e-016	2.38537e-026	0.425027   	-0.425021  
0.22785    	3.97609e-028	1.89209e-016	2.70062e-026	0.422449   	-0.422441  
0.2352     	4.63478e-028	2.07255e-016	3.04593e-026	0.419872   	-0.419864  
0.24255    	5.37769e-028	2.26396e-016	3.42313e-026	0.417297   	-0.417288  
0.2499     	6.2126e-028	2.46662e-016	3.83408e-026	0.414724   	-0.414714  
0.25725    	7.14774e-028	2.68084e-016	4.28071e-026	0.412154   	-0.412142  
0.2646     	8.19182e-028	2.90691e-016	4.765e-026 	0.409585   	-0.409571  
0.27195    	9.35401e-028	3.14514e-016	5.28896e-026	0.407018   	-0.407003  
0.2793     	1.0644e-027	3.39582e-016	5.85467e-026	0.404454   	-0.404437  
0.28665    	1.2072e-027	3.65924e-016	6.46425e-026	0.401892   	-0.401873  
0.294      	1.36486e-027	3.9357e-016	7.11987e-026	0.399332   	-0.399312  
0.30135    	1.53852e-027	4.22549e-016	7.82374e-026	0.396774   	-0.396752  
0.3087     	1.72934e-027	4.5289e-016	8.57813e-026	0.39422    	-0.394195  
0.31605    	1.93856e-027	4.84621e-016	9.38536e-026	0.391667   	-0.391641  
0.3234     	2.16747e-027	5.17772e-016	1.02478e-025	0.389117   	-0.389088  
0.33075    	2.41742e-027	5.52371e-016	1.11678e-025	0.38657    	-0.386539  
0.3381     	2.68981e-027	5.88446e-016	1.21479e-025	0.384026   	-0.383992  
0.34545    	2.9861e-027	6.26026e-016	1.31906e-025	0.381484   	-0.381447  
0.3528     	3.30782e-027	6.65138e-016	1.42983e-025	0.378946   	-0.378905  
0.36015    	3.65656e-027	7.05811e-016	1.54738e-025	0.37641    	-0.376366  
0.3675     	4.03396e-027	7.48072e-016	1.67196e-025	0.373877   	-0.37383   
0.37485    	4.44176e-027	7.91949e-016	1.80384e-025	0.371348   	-0.371296  
0.3822     	4.88172e-027	8.37469e-016	1.9433e-025	0.368821   	-0.368766  
0.38955    	5.3557e-027	8.8466e-016	2.09061e-025	0.366297   	-0.366238  
0.3969     	5.8656e-027	9.33549e-016	2.24606e-025	0.363777   	-0.363714  
0.40425    	6.41342e-027	9.84162e-016	2.40993e-025	0.36126    	-0.361192  
0.4116     	7.00121e-027	1.03653e-015	2.58251e-025	0.358747   	-0.358673  
0.41895    	7.63109e-027	1.09067e-015	2.76411e-025	0.356237   	-0.356158  
0.4263     	8.30526e-027	1.14662e-015	2.95501e-025	0.35373    	-0.353646  
0.43365    	9.026e-027 	1.2044e-015	3.15552e-025	0.351227   	-0.351137  
0.441      	9.79564e-027	1.26403e-015	3.36595e-025	0.348727   	-0.348632  
0.44835    	1.06166e-026	1.32555e-015	3.58662e-025	0.346231   	-0.34613   
0.4557     	1.14914e-026	1.38898e-015	3.81783e-025	0.343739   	-0.343631  
0.46305    	1.24226e-026	1.45434e-015	4.05992e-025	0.341251   	-0.341136  
0.4704     	1.34128e-026	1.52167e-015	4.31321e-025	0.338766   	-0.338644  
0.47775    	1.44648e-026	1.59098e-015	4.57802e-025	0.336285   	-0.336156  
0.4851     	1.55814e-026	1.6623e-015	4.85469e-025	0.333809   	-0.333671  
0.49245    	1.67655e-026	1.73566e-015	5.14356e-025	0.331336   	-0.33119   
0.4998     	1.802e-026 	1.81108e-015	5.44496e-025	0.328867   	-0.328713  
0.50715    	1.9348e-026	1.88859e-015	5.75926e-025	0.326403   	-0.32624   
