T          	Er(t)      	Ephi(t)    	Ez(t)      	Hr(t)      	Hphi(t)    	Hz(t)      	Jr(t)      	Jphi(t)    	Jz(t)      
0          	0          	0          	0          	0          	0          	0          	0.502148   	-0.502148  	0          	
0.00945    	0          	0          	0          	0          	0          	0          	0.498804   	-0.498804  	0          	
0.0189     	0          	2.98407e-016	0          	0          	0          	1.49203e-016	0.495459   	-0.495459  	0          	
0.02835    	4.6626e-019	1.63829e-015	0          	0          	0          	9.30812e-016	0.492114   	-0.492114  	0          	
0.0378     	3.37505e-018	5.14663e-015	0          	0          	0          	3.24181e-015	0.488769   	-0.488769  	0          	
0.04725    	1.35057e-017	1.21344e-014	0          	0          	0          	8.30375e-015	0.485424   	-0.485424  	0          	
0.0567     	3.94549e-017	2.38925e-014	0          	0          	0          	1.74596e-014	0.482079   	-0.482079  	0          	
0.06615    	9.40162e-017	4.15917e-014	0          	0          	0          	3.19831e-014	0.478735   	-0.478735  	0          	
0.0756     	1.93964e-016	6.6306e-014	0          	0          	0          	5.30028e-014	0.475391   	-0.475391  	0          	
0.08505    	3.59597e-016	9.90952e-014	0          	0          	0          	8.15506e-014	0.472048   	-0.472048  	0          	
0.0945     	6.14443e-016	1.41065e-013	0          	0          	0          	1.18661e-013	0.468706   	-0.468705  	0          	
0.10395    	9.85258e-016	1.9336e-013	0          	0          	0          	1.6543e-013	0.465365   	-0.465364  	0          	
0.1134     	1.50223e-015	2.57122e-013	0          	0          	0          	2.23e-013  	0.462024   	-0.462023  	0          	
0.12285    	2.1991e-015	3.33443e-013	0          	0          	0          	2.92494e-013	0.458686   	-0.458684  	0          	
0.1323     	3.11315e-015	4.23372e-013	0          	0          	0          	3.74977e-013	0.455349   	-0.455346  	0          	
0.14175    	4.28495e-015	5.27942e-013	0          	0          	0          	4.71457e-013	0.452013   	-0.45201   	0          	
0.1512     	5.75825e-015	6.48201e-013	0          	0          	0          	5.82932e-013	0.448679   	-0.448675  	0          	
0.16065    	7.57992e-015	7.8521e-013	0          	0          	0          	7.10421e-013	0.445348   	-0.445342  	0          	
0.1701     	9.79998e-015	9.40022e-013	0          	0          	0          	8.54964e-013	0.442018   	-0.442012  	0          	
0.17955    	1.24717e-014	1.11366e-012	0          	0          	0          	1.01759e-012	0.438691   	-0.438683  	0          	
0.189      	1.56517e-014	1.30712e-012	0          	0          	0          	1.19927e-012	0.435366   	-0.435356  	0          	
0.19845    	1.93994e-014	1.52138e-012	0          	0          	0          	1.40098e-012	0.432044   	-0.432032  	0          	
0.2079     	2.37775e-014	1.75742e-012	0          	0          	0          	1.62363e-012	0.428725   	-0.42871   	0          	
0.21735    	2.88513e-014	2.01622e-012	0          	0          	0          	1.86817e-012	0.425408   	-0.425391  	0          	
0.2268     	3.46893e-014	2.29876e-012	0          	0          	0          	2.13555e-012	0.422095   	-0.422075  	0          	
0.23625    	4.13629e-014	2.606e-012 	0          	0          	0          	2.42671e-012	0.418785   	-0.418762  	0          	
0.2457     	4.89464e-014	2.93886e-012	0          	0          	0          	2.74255e-012	0.415478   	-0.415451  	0          	
0.25515    	5.75168e-014	3.29826e-012	0          	0          	0          	3.08395e-012	0.412175   	-0.412144  	0          	
0.2646     	6.71542e-014	3.6851e-012	0          	0          	0          	3.45178e-012	0.408876   	-0.40884   	0          	
0.27405    	7.7941e-014	4.1003e-012	0          	0          	0          	3.84689e-012	0.40558    	-0.405539  	0          	
0.2835     	8.99625e-014	4.54476e-012	0          	0          	0          	4.27015e-012	0.402289   	-0.402242  	0          	
0.29295    	1.03307e-013	5.01936e-012	0          	0          	0          	4.72241e-012	0.399002   	-0.398949  	0          	
0.3024     	1.18064e-013	5.52494e-012	0          	0          	0          	5.20449e-012	0.395719   	-0.395659  	0          	
0.31185    	1.34328e-013	6.06237e-012	0          	0          	0          	5.71719e-012	0.392441   	-0.392374  	0          	
0.3213     	1.52195e-013	6.63247e-012	0          	0          	0          	6.2613e-012	0.389168   	-0.389092  	0          	
0.33075    	1.71761e-013	7.23608e-012	0          	0          	0          	6.8376e-012	0.385899   	-0.385815  	0          	
0.3402     	1.93129e-013	7.87403e-012	0          	0          	0          	7.44686e-012	0.382635   	-0.382541  	0          	
0.34965    	2.164e-013 	8.54711e-012	0          	0          	0          	8.08985e-012	0.379377   	-0.379273  	0          	
0.3591     	2.41681e-013	9.2561e-012	0          	0          	0          	8.76731e-012	0.376124   	-0.376008  	0          	
0.36855    	2.69079e-013	1.00018e-011	0          	0          	0          	9.47995e-012	0.372876   	-0.372749  	0          	
0.378      	2.98704e-013	1.07849e-011	0          	0          	0          	1.02285e-011	0.369634   	-0.369494  	0          	
0.38745    	3.30668e-013	1.16063e-011	0          	0          	0          	1.10136e-011	0.366398   	-0.366244  	0          	
0.3969     	3.65085e-013	1.24666e-011	0          	0          	0          	1.1836e-011	0.363168   	-0.362999  	0          	
0.40635    	4.02072e-013	1.33665e-011	0          	0          	0          	1.26963e-011	0.359944   	-0.359759  	0          	
0.4158     	4.41748e-013	1.43069e-011	0          	0          	0          	1.35953e-011	0.356726   	-0.356524  	0          	
0.42525    	4.84234e-013	1.52883e-011	0          	0          	0          	1.45335e-011	0.353515   	-0.353295  	0          	
0.4347     	5.29651e-013	1.63114e-011	0          	0          	0          	1.55115e-011	0.35031    	-0.350071  	0          	
0.44415    	5.78124e-013	1.7377e-011	0          	0          	0          	1.653e-011 	0.347112   	-0.346853  	0          	
0.4536     	6.2978e-013	1.84857e-011	0          	0          	0          	1.75896e-011	0.343921   	-0.34364   	0          	
0.46305    	6.84748e-013	1.96381e-011	0          	0          	0          	1.86908e-011	0.340737   	-0.340433  	0          	
0.4725     	7.43157e-013	2.08349e-011	0          	0          	0          	1.98343e-011	0.33756    	-0.337232  	0          	
0.48195    	8.05139e-013	2.20767e-011	0          	0          	0          	2.10205e-011	0.33439    	-0.334038  	0          	
0.4914     	8.70828e-013	2.3364e-011	0          	0          	0          	2.225e-011 	0.331228   	-0.330849  	0          	
0.50085    	9.40359e-013	2.46975e-011	0          	0          	0          	2.35234e-011	0.328073   	-0.327666  	0          	
0.5103     	1.01387e-012	2.60777e-011	0          	0          	0          	2.48411e-011	0.324927   	-0.32449   	0          	
0.51975    	1.0915e-012	2.75053e-011	0          	0          	0          	2.62036e-011	0.321788   	-0.32132   	0          	
0.5292     	1.17338e-012	2.89806e-011	0          	0          	0          	2.76114e-011	0.318657   	-0.318157  	0          	
0.53865    	1.25967e-012	3.05044e-011	0          	0          	0          	2.9065e-011	0.315535   	-0.315     	0          	
0.5481     	1.3505e-012	3.2077e-011	0          	0          	0          	3.05649e-011	0.312421   	-0.31185   	0          	
