T          	Er(t)      	Ephi(t)    	Ez(t)      	Hr(t)      	Hphi(t)    	Hz(t)      	Jr(t)      	Jphi(t)    	Jz(t)      
0          	0          	0          	0          	0          	0          	0          	0          	-0         	0          	
0.008575   	-6.12993e-012	6.12993e-012	0          	0          	0          	-1.77864e-019	0.170661   	-0.170661  	0          	
0.01715    	-1.82099e-011	1.82099e-011	0          	0          	0          	-2.37379e-019	0.336314   	-0.336314  	0          	
0.025725   	-3.58856e-011	3.58856e-011	0          	0          	0          	-7.54073e-020	0.4921     	-0.4921    	0          	
0.0343     	-5.86383e-011	5.86383e-011	0          	0          	0          	-3.51084e-019	0.633447   	-0.633447  	0          	
0.042875   	-8.58005e-011	8.58005e-011	0          	0          	0          	1.13552e-018	0.756209   	-0.756209  	0          	
0.05145    	-1.16575e-010	1.16575e-010	0          	0          	0          	7.28749e-018	0.856784   	-0.856784  	0          	
0.060025   	-1.50059e-010	1.50059e-010	0          	0          	0          	2.55905e-018	0.93222    	-0.93222   	0          	
0.0686     	-1.85271e-010	1.85271e-010	0          	0          	0          	-5.51224e-018	0.980305   	-0.980305  	0          	
0.077175   	-2.21176e-010	2.21176e-010	0          	0          	0          	-5.38493e-018	0.999627   	-0.999627  	0          	
0.08575    	-2.56722e-010	2.56723e-010	0          	0          	0          	-1.09868e-017	0.989621   	-0.989621  	0          	
0.094325   	-2.90866e-010	2.90866e-010	0          	0          	0          	-1.05746e-017	0.950578   	-0.950578  	0          	
0.1029     	-3.22606e-010	3.22606e-010	0          	0          	0          	-1.91477e-017	0.883645   	-0.883645  	0          	
0.111475   	-3.5101e-010	3.5101e-010	0          	0          	0          	-2.99939e-017	0.790787   	-0.790787  	0          	
0.12005    	-3.75245e-010	3.75245e-010	0          	0          	0          	-1.83194e-017	0.674726   	-0.674726  	0          	
0.128625   	-3.94601e-010	3.94601e-010	0          	0          	0          	-3.04031e-018	0.538868   	-0.538868  	0          	
0.1372     	-4.08509e-010	4.08509e-010	0          	0          	0          	1.90426e-017	0.3872     	-0.3872    	0          	
0.145775   	-4.16561e-010	4.16561e-010	0          	0          	0          	3.52861e-017	0.224171   	-0.224171  	0          	
0.15435    	-4.18521e-010	4.18521e-010	0          	0          	0          	3.14475e-017	0.0545656  	-0.0545656 	0          	
0.162925   	-4.14331e-010	4.14331e-010	0          	0          	0          	1.27776e-017	-0.116641  	0.116641   	0          	
0.1715     	-4.04115e-010	4.04115e-010	0          	0          	0          	-1.06103e-017	-0.284426  	0.284426   	0          	
0.180075   	-3.88172e-010	3.88172e-010	0          	0          	0          	-1.08424e-017	-0.443865  	0.443865   	0          	
0.18865    	-3.66969e-010	3.66969e-010	0          	0          	0          	-3.22553e-018	-0.590281  	0.590281   	0          	
0.197225   	-3.4113e-010	3.4113e-010	0          	0          	0          	3.94303e-018	-0.719378  	0.719378   	0          	
0.2058     	-3.11412e-010	3.11412e-010	0          	0          	0          	3.7202e-018	-0.827369  	0.827369   	0          	
0.214375   	-2.78687e-010	2.78687e-010	0          	0          	0          	-4.48829e-018	-0.911084  	0.911084   	0          	
0.22295    	-2.43915e-010	2.43915e-010	0          	0          	0          	-6.84199e-018	-0.968068  	0.968068   	0          	
0.231525   	-2.08116e-010	2.08116e-010	0          	0          	0          	-9.27411e-018	-0.996649  	0.996649   	0          	
0.2401     	-1.72342e-010	1.72342e-010	0          	0          	0          	-3.79438e-018	-0.995988  	0.995988   	0          	
0.248675   	-1.3764e-010	1.3764e-010	0          	0          	0          	9.77216e-018	-0.966104  	0.966104   	0          	
0.25725    	-1.0503e-010	1.0503e-010	0          	0          	0          	2.39738e-017	-0.907874  	0.907874   	0          	
0.265825   	-7.54688e-011	7.54689e-011	0          	0          	0          	3.02201e-017	-0.823008  	0.823008   	0          	
0.2744     	-4.9823e-011	4.9823e-011	0          	0          	0          	2.44445e-017	-0.713994  	0.713994   	0          	
0.282975   	-2.88452e-011	2.88453e-011	0          	0          	0          	1.17231e-017	-0.584031  	0.584031   	0          	
0.29155    	-1.31511e-011	1.31512e-011	0          	0          	0          	1.76181e-018	-0.436932  	0.436932   	0          	
0.300125   	-3.20106e-012	3.20118e-012	0          	0          	0          	3.59722e-018	-0.277015  	0.277015   	0          	
0.3087     	7.12969e-013	-7.12836e-013	0          	0          	0          	1.59613e-017	-0.108969  	0.108969   	0          	
0.317275   	-1.52384e-012	1.52397e-012	0          	0          	0          	2.98961e-017	0.0622739  	-0.0622739 	0          	
0.32585    	-9.84588e-012	9.84599e-012	0          	0          	0          	3.41361e-017	0.23169    	-0.23169   	0          	
0.334425   	-2.4009e-011	2.4009e-011	0          	0          	0          	2.37637e-017	0.394307   	-0.394307  	0          	
0.343      	-4.35975e-011	4.35976e-011	0          	0          	0          	1.76277e-018	0.545357   	-0.545357  	0          	
0.351575   	-6.80369e-011	6.8037e-011	0          	0          	0          	-2.3415e-017	0.680404   	-0.680404  	0          	
0.36015    	-9.661e-011	9.661e-011 	0          	0          	0          	-3.86428e-017	0.795489   	-0.795489  	0          	
0.368725   	-1.28478e-010	1.28478e-010	0          	0          	0          	-4.07512e-017	0.887234   	-0.887234  	0          	
0.3773     	-1.62707e-010	1.62707e-010	0          	0          	0          	-2.43314e-017	0.952947   	-0.952947  	0          	
0.385875   	-1.98292e-010	1.98292e-010	0          	0          	0          	-1.97529e-018	0.990701   	-0.990701  	0          	
0.39445    	-2.34189e-010	2.34189e-010	0          	0          	0          	2.76682e-017	0.999387   	-0.999387  	0          	
0.403025   	-2.69345e-010	2.69345e-010	0          	0          	0          	2.77164e-017	0.978751   	-0.978751  	0          	
0.4116     	-3.02727e-010	3.02728e-010	0          	0          	0          	-8.8395e-018	0.929398   	-0.929398  	0          	
0.420175   	-3.33358e-010	3.33358e-010	0          	0          	0          	-4.22999e-017	0.852776   	-0.852776  	0          	
0.42875    	-3.60338e-010	3.60338e-010	0          	0          	0          	-5.76399e-017	0.751134   	-0.751134  	0          	
0.437325   	-3.82876e-010	3.82876e-010	0          	0          	0          	-4.87585e-017	0.627454   	-0.627454  	0          	
0.4459     	-4.00309e-010	4.00309e-010	0          	0          	0          	-4.02763e-017	0.485363   	-0.485363  	0          	
0.454475   	-4.12128e-010	4.12128e-010	0          	0          	0          	-3.10907e-017	0.329032   	-0.329032  	0          	
0.46305    	-4.17984e-010	4.17984e-010	0          	0          	0          	-2.79162e-017	0.163047   	-0.163047  	0          	
0.471625   	-4.17707e-010	4.17707e-010	0          	0          	0          	-3.90052e-017	-0.00772089	0.00772089 	0          	
0.4802     	-4.11304e-010	4.11304e-010	0          	0          	0          	-3.30125e-017	-0.178263  	0.178263   	0          	
0.488775   	-3.98963e-010	3.98963e-010	0          	0          	0          	-2.57134e-017	-0.343575  	0.343575   	0          	
0.49735    	-3.81046e-010	3.81046e-010	0          	0          	0          	-3.15064e-017	-0.498807  	0.498807   	0          	
0.505925   	-3.5808e-010	3.5808e-010	0          	0          	0          	-4.144e-017	-0.639403  	0.639403   	0          	
0.5145     	-3.30737e-010	3.30737e-010	0          	0          	0          	-3.67016e-017	-0.761239  	0.761239   	0          	
0.523075   	-2.9982e-010	2.9982e-010	0          	0          	0          	-1.46191e-017	-0.86074   	0.86074    	0          	
0.53165    	-2.66237e-010	2.66237e-010	0          	0          	0          	3.63307e-018	-0.934987  	0.934987   	0          	
0.540225   	-2.30971e-010	2.30971e-010	0          	0          	0          	2.85127e-018	-0.981801  	0.981801   	0          	
0.5488     	-1.95059e-010	1.95059e-010	0          	0          	0          	-1.99572e-017	-0.999808  	0.999808   	0          	
0.557375   	-1.59554e-010	1.59554e-010	0          	0          	0          	-5.91383e-017	-0.988482  	0.988482   	0          	
0.56595    	-1.25498e-010	1.25498e-010	0          	0          	0          	-7.44539e-017	-0.948152  	0.948152   	0          	
0.574525   	-9.38889e-011	9.38889e-011	0          	0          	0          	-5.24793e-017	-0.880004  	0.880004   	0          	
0.5831     	-6.56553e-011	6.56554e-011	0          	0          	0          	-3.68743e-018	-0.786036  	0.786036   	0          	
0.591675   	-4.16254e-011	4.16254e-011	0          	0          	0          	3.41902e-017	-0.669007  	0.669007   	0          	
0.60025    	-2.2504e-011	2.2504e-011	0          	0          	0          	3.99027e-017	-0.532348  	0.532348   	0          	
0.608825   	-8.85236e-012	8.85238e-012	0          	0          	0          	1.9261e-017	-0.380069  	0.380069   	0          	
0.6174     	-1.07091e-012	1.07095e-012	0          	0          	0          	-2.69265e-018	-0.21664   	0.21664    	0          	
0.625975   	6.12057e-013	-6.11994e-013	0          	0          	0          	-4.58862e-018	-0.0468546 	0.0468546  	0          	
0.63455    	-3.85288e-012	3.85295e-012	0          	0          	0          	1.1418e-017	0.124306   	-0.124306  	0          	
0.643125   	-1.43347e-011	1.43348e-011	0          	0          	0          	2.25868e-017	0.29182    	-0.29182   	0          	
0.6517     	-3.05259e-011	3.05259e-011	0          	0          	0          	4.9132e-018	0.450771   	-0.450771  	0          	
0.660275   	-5.19513e-011	5.19514e-011	0          	0          	0          	-4.51242e-017	0.596496   	-0.596496  	0          	
0.66885    	-7.79825e-011	7.79825e-011	0          	0          	0          	-1.02108e-016	0.72472    	-0.72472   	0          	
0.677425   	-1.07856e-010	1.07856e-010	0          	0          	0          	-1.39741e-016	0.831681   	-0.831681  	0          	
0.686      	-1.40694e-010	1.40694e-010	0          	0          	0          	-1.34152e-016	0.91424    	-0.91424   	0          	
0.694575   	-1.75534e-010	1.75534e-010	0          	0          	0          	-9.76975e-017	0.969975   	-0.969975  	0          	
0.70315    	-2.11355e-010	2.11355e-010	0          	0          	0          	-3.39724e-017	0.997251   	-0.997251  	0          	
0.711725   	-2.47103e-010	2.47103e-010	0          	0          	0          	1.56003e-018	0.995267   	-0.995267  	0          	
0.7203     	-2.81732e-010	2.81732e-010	0          	0          	0          	1.29432e-017	0.964082   	-0.964082  	0          	
0.728875   	-3.14225e-010	3.14225e-010	0          	0          	0          	1.37127e-017	0.90461    	-0.90461   	0          	
0.73745    	-3.43628e-010	3.43628e-010	0          	0          	0          	-7.75951e-019	0.818597   	-0.818597  	0          	
0.746025   	-3.69079e-010	3.69079e-010	0          	0          	0          	-2.23377e-017	0.708566   	-0.708566  	0          	
0.7546     	-3.89831e-010	3.89831e-010	0          	0          	0          	-1.8135e-017	0.577746   	-0.577746  	0          	
0.763175   	-4.05275e-010	4.05275e-010	0          	0          	0          	3.57887e-017	0.429974   	-0.429974  	0          	
