T          	Er(t)      	Ephi(t)    	Ez(t)      	Hr(t)      	Hphi(t)    	Hz(t)      	Jr(t)      	Jphi(t)    	Jz(t)      
0          	0          	0          	0          	0          	0          	0          	0.49325    	-0.49325   	0          	
0.0135     	0          	3.47185e-015	0          	0          	0          	1.73592e-015	0.486546   	-0.486546  	0          	
0.027      	7.75731e-018	1.3832e-014	0          	0          	0          	8.21403e-015	0.479888   	-0.479888  	0          	
0.0405     	4.44633e-017	3.44375e-014	0          	0          	0          	2.30324e-014	0.473277   	-0.473277  	0          	
0.054      	1.47388e-016	6.85869e-014	0          	0          	0          	4.97973e-014	0.466711   	-0.466712  	0          	
0.0675     	3.69917e-016	1.19523e-013	0          	0          	0          	9.18402e-014	0.460192   	-0.460192  	0          	
0.081      	7.80323e-016	1.90436e-013	0          	0          	0          	1.52235e-013	0.453719   	-0.453719  	0          	
0.0945     	1.46062e-015	2.8446e-013	0          	0          	0          	2.33965e-013	0.447292   	-0.447292  	0          	
0.108      	2.50613e-015	4.04674e-013	0          	0          	0          	3.40044e-013	0.440911   	-0.440911  	0          	
0.1215     	4.02569e-015	5.54096e-013	0          	0          	0          	4.73525e-013	0.434576   	-0.434576  	0          	
0.135      	6.14173e-015	7.35686e-013	0          	0          	0          	6.3741e-013	0.428287   	-0.428286  	0          	
0.1485     	8.99012e-015	9.52349e-013	0          	0          	0          	8.3458e-013	0.422044   	-0.422043  	0          	
0.162      	1.27196e-014	1.20693e-012	0          	0          	0          	1.06779e-012	0.415848   	-0.415845  	0          	
0.1755     	1.74912e-014	1.50222e-012	0          	0          	0          	1.33972e-012	0.409698   	-0.409694  	0          	
0.189      	2.3478e-014	1.84096e-012	0          	0          	0          	1.65302e-012	0.403593   	-0.403587  	0          	
0.2025     	3.08649e-014	2.22582e-012	0          	0          	0          	2.01034e-012	0.397535   	-0.397527  	0          	
0.216      	3.98484e-014	2.65941e-012	0          	0          	0          	2.41424e-012	0.391523   	-0.391512  	0          	
0.2295     	5.06369e-014	3.14429e-012	0          	0          	0          	2.86722e-012	0.385558   	-0.385543  	0          	
0.243      	6.34497e-014	3.68296e-012	0          	0          	0          	3.37166e-012	0.379638   	-0.379619  	0          	
0.2565     	7.85166e-014	4.27785e-012	0          	0          	0          	3.92989e-012	0.373765   	-0.37374   	0          	
0.27       	9.60781e-014	4.93136e-012	0          	0          	0          	4.54417e-012	0.367938   	-0.367907  	0          	
0.2835     	1.16385e-013	5.64581e-012	0          	0          	0          	5.21674e-012	0.362157   	-0.362119  	0          	
0.297      	1.39697e-013	6.42345e-012	0          	0          	0          	5.94979e-012	0.356422   	-0.356376  	0          	
0.3105     	1.66284e-013	7.26649e-012	0          	0          	0          	6.74541e-012	0.350734   	-0.350678  	0          	
0.324      	1.96428e-013	8.17707e-012	0          	0          	0          	7.6056e-012	0.345092   	-0.345025  	0          	
0.3375     	2.30415e-013	9.15729e-012	0          	0          	0          	8.53231e-012	0.339496   	-0.339417  	0          	
0.351      	2.68543e-013	1.02092e-011	0          	0          	0          	9.52744e-012	0.333946   	-0.333854  	0          	
0.3645     	3.11118e-013	1.13347e-011	0          	0          	0          	1.05928e-011	0.328442   	-0.328335  	0          	
0.378      	3.58454e-013	1.25357e-011	0          	0          	0          	1.17302e-011	0.322985   	-0.322861  	0          	
0.3915     	4.10873e-013	1.38141e-011	0          	0          	0          	1.29414e-011	0.317574   	-0.317432  	0          	
0.405      	4.68704e-013	1.51716e-011	0          	0          	0          	1.4228e-011	0.312209   	-0.312047  	0          	
0.4185     	5.32285e-013	1.661e-011 	0          	0          	0          	1.55914e-011	0.30689    	-0.306706  	0          	
0.432      	6.01958e-013	1.8131e-011	0          	0          	0          	1.70334e-011	0.301618   	-0.301409  	0          	
0.4455     	6.78075e-013	1.97361e-011	0          	0          	0          	1.85552e-011	0.296392   	-0.296156  	0          	
0.459      	7.60993e-013	2.1427e-011	0          	0          	0          	2.01583e-011	0.291212   	-0.290947  	0          	
0.4725     	8.51074e-013	2.32049e-011	0          	0          	0          	2.1844e-011	0.286078   	-0.285783  	0          	
0.486      	9.48688e-013	2.50715e-011	0          	0          	0          	2.36136e-011	0.28099    	-0.280661  	0          	
0.4995     	1.05421e-012	2.70281e-011	0          	0          	0          	2.54682e-011	0.275949   	-0.275584  	0          	
0.513      	1.16802e-012	2.90758e-011	0          	0          	0          	2.74089e-011	0.270954   	-0.270549  	0          	
0.5265     	1.2905e-012	3.12161e-011	0          	0          	0          	2.94369e-011	0.266005   	-0.265558  	0          	
0.54       	1.42205e-012	3.34501e-011	0          	0          	0          	3.15531e-011	0.261102   	-0.260611  	0          	
0.5535     	1.56305e-012	3.57788e-011	0          	0          	0          	3.37584e-011	0.256245   	-0.255706  	0          	
0.567      	1.7139e-012	3.82033e-011	0          	0          	0          	3.60537e-011	0.251434   	-0.250845  	0          	
0.5805     	1.87502e-012	4.07247e-011	0          	0          	0          	3.84399e-011	0.24667    	-0.246026  	0          	
0.594      	2.04679e-012	4.33438e-011	0          	0          	0          	4.09176e-011	0.241951   	-0.24125   	0          	
0.6075     	2.22964e-012	4.60616e-011	0          	0          	0          	4.34876e-011	0.237278   	-0.236516  	0          	
0.621      	2.42397e-012	4.88788e-011	0          	0          	0          	4.61503e-011	0.232652   	-0.231825  	0          	
0.6345     	2.6302e-012	5.17962e-011	0          	0          	0          	4.89065e-011	0.228071   	-0.227176  	0          	
0.648      	2.84875e-012	5.48144e-011	0          	0          	0          	5.17566e-011	0.223536   	-0.22257   	0          	
0.6615     	3.08004e-012	5.79341e-011	0          	0          	0          	5.47009e-011	0.219047   	-0.218005  	0          	
0.675      	3.32448e-012	6.11559e-011	0          	0          	0          	5.77399e-011	0.214604   	-0.213482  	0          	
0.6885     	3.5825e-012	6.44802e-011	0          	0          	0          	6.08738e-011	0.210207   	-0.209001  	0          	
0.702      	3.85453e-012	6.79075e-011	0          	0          	0          	6.4103e-011	0.205855   	-0.204562  	0          	
0.7155     	4.14098e-012	7.14381e-011	0          	0          	0          	6.74275e-011	0.201549   	-0.200164  	0          	
0.729      	4.4423e-012	7.50725e-011	0          	0          	0          	7.08474e-011	0.197289   	-0.195807  	0          	
0.7425     	4.75889e-012	7.88107e-011	0          	0          	0          	7.43629e-011	0.193074   	-0.191492  	0          	
0.756      	5.0912e-012	8.26531e-011	0          	0          	0          	7.79738e-011	0.188905   	-0.187217  	0          	
0.7695     	5.43964e-012	8.65997e-011	0          	0          	0          	8.16801e-011	0.184781   	-0.182984  	0          	
0.783      	5.80464e-012	9.06506e-011	0          	0          	0          	8.54818e-011	0.180702   	-0.178791  	0          	
0.7965     	6.18663e-012	9.48058e-011	0          	0          	0          	8.93784e-011	0.176669   	-0.174638  	0          	
0.81       	6.58604e-012	9.90653e-011	0          	0          	0          	9.33699e-011	0.172681   	-0.170526  	0          	
0.8235     	7.00328e-012	1.03429e-010	0          	0          	0          	9.74559e-011	0.168738   	-0.166455  	0          	
0.837      	7.43878e-012	1.07897e-010	0          	0          	0          	1.01636e-010	0.16484    	-0.162423  	0          	
0.8505     	7.89296e-012	1.12468e-010	0          	0          	0          	1.0591e-010	0.160987   	-0.158431  	0          	
0.864      	8.36624e-012	1.17143e-010	0          	0          	0          	1.10276e-010	0.157179   	-0.154479  	0          	
0.8775     	8.85903e-012	1.21921e-010	0          	0          	0          	1.14736e-010	0.153416   	-0.150567  	0          	
0.891      	9.37175e-012	1.26801e-010	0          	0          	0          	1.19287e-010	0.149697   	-0.146694  	0          	
0.9045     	9.90481e-012	1.31784e-010	0          	0          	0          	1.2393e-010	0.146023   	-0.14286   	0          	
0.918      	1.04586e-011	1.36868e-010	0          	0          	0          	1.28663e-010	0.142393   	-0.139066  	0          	
0.9315     	1.10336e-011	1.42054e-010	0          	0          	0          	1.33486e-010	0.138808   	-0.13531   	0          	
0.945      	1.16301e-011	1.47339e-010	0          	0          	0          	1.38397e-010	0.135266   	-0.131593  	0          	
0.9585     	1.22485e-011	1.52725e-010	0          	0          	0          	1.43397e-010	0.131769   	-0.127915  	0          	
0.972      	1.28893e-011	1.58209e-010	0          	0          	0          	1.48483e-010	0.128316   	-0.124276  	0          	
0.9855     	1.35529e-011	1.63792e-010	0          	0          	0          	1.53656e-010	0.124907   	-0.120674  	0          	
0.999      	1.42395e-011	1.69471e-010	0          	0          	0          	1.58913e-010	0.121542   	-0.117111  	0          	
1.0125     	1.49496e-011	1.75247e-010	0          	0          	0          	1.64254e-010	0.11822    	-0.113586  	0          	
1.026      	1.56836e-011	1.81118e-010	0          	0          	0          	1.69678e-010	0.114941   	-0.110098  	0          	
1.0395     	1.64419e-011	1.87084e-010	0          	0          	0          	1.75183e-010	0.111706   	-0.106648  	0          	
1.053      	1.72247e-011	1.93142e-010	0          	0          	0          	1.80767e-010	0.108514   	-0.103235  	0          	
1.0665     	1.80325e-011	1.99292e-010	0          	0          	0          	1.86431e-010	0.105365   	-0.09986   	0          	
1.08       	1.88656e-011	2.05533e-010	0          	0          	0          	1.92171e-010	0.102259   	-0.0965217 	0          	
1.0935     	1.97244e-011	2.11863e-010	0          	0          	0          	1.97987e-010	0.0991955  	-0.0932203 	0          	
1.107      	2.06091e-011	2.18281e-010	0          	0          	0          	2.03877e-010	0.0961746  	-0.0899556 	0          	
1.1205     	2.15202e-011	2.24786e-010	0          	0          	0          	2.0984e-010	0.093196   	-0.0867273 	0          	
1.134      	2.24579e-011	2.31376e-010	0          	0          	0          	2.15874e-010	0.0902595  	-0.0835354 	0          	
1.1475     	2.34225e-011	2.3805e-010	0          	0          	0          	2.21977e-010	0.0873651  	-0.0803797 	0          	
1.161      	2.44145e-011	2.44805e-010	0          	0          	0          	2.28148e-010	0.0845124  	-0.0772598 	0          	
1.1745     	2.5434e-011	2.51642e-010	0          	0          	0          	2.34384e-010	0.0817014  	-0.0741757 	0          	
1.188      	2.64814e-011	2.58557e-010	0          	0          	0          	2.40685e-010	0.0789318  	-0.0711272 	0          	
1.2015     	2.7557e-011	2.65549e-010	0          	0          	0          	2.47048e-010	0.0762035  	-0.0681141 	0          	
1.215      	2.86609e-011	2.72616e-010	0          	0          	0          	2.53471e-010	0.0735162  	-0.0651361 	0          	
1.2285     	2.97936e-011	2.79758e-010	0          	0          	0          	2.59952e-010	0.0708698  	-0.0621931 	0          	
1.242      	3.09553e-011	2.86971e-010	0          	0          	0          	2.66489e-010	0.0682639  	-0.0592849 	0          	
1.2555     	3.21461e-011	2.94253e-010	0          	0          	0          	2.73081e-010	0.0656985  	-0.0564112 	0          	
1.269      	3.33664e-011	3.01604e-010	0          	0          	0          	2.79725e-010	0.0631733  	-0.0535719 	0          	
1.2825     	3.46164e-011	3.0902e-010	0          	0          	0          	2.86418e-010	0.0606881  	-0.0507668 	0          	
1.296      	3.58964e-011	3.16501e-010	0          	0          	0          	2.9316e-010	0.0582426  	-0.0479957 	0          	
1.3095     	3.72064e-011	3.24043e-010	0          	0          	0          	2.99947e-010	0.0558367  	-0.0452583 	0          	
1.323      	3.85468e-011	3.31645e-010	0          	0          	0          	3.06778e-010	0.05347    	-0.0425544 	0          	
1.3365     	3.99177e-011	3.39304e-010	0          	0          	0          	3.13649e-010	0.0511424  	-0.0398839 	0          	
1.35       	4.13193e-011	3.47018e-010	0          	0          	0          	3.2056e-010	0.0488537  	-0.0372465 	0          	
1.3635     	4.27518e-011	3.54786e-010	0          	0          	0          	3.27507e-010	0.0466035  	-0.034642  	0          	
1.377      	4.42153e-011	3.62604e-010	0          	0          	0          	3.34487e-010	0.0443916  	-0.0320702 	0          	
1.3905     	4.571e-011 	3.7047e-010	0          	0          	0          	3.415e-010 	0.0422178  	-0.0295309 	0          	
1.404      	4.72361e-011	3.78382e-010	0          	0          	0          	3.48541e-010	0.0400817  	-0.0270239 	0          	
1.4175     	4.87936e-011	3.86339e-010	0          	0          	0          	3.55609e-010	0.0379833  	-0.0245489 	0          	
1.431      	5.03827e-011	3.94336e-010	0          	0          	0          	3.62702e-010	0.0359221  	-0.0221057 	0          	
1.4445     	5.20035e-011	4.02371e-010	0          	0          	0          	3.69815e-010	0.033898   	-0.0196942 	0          	
