T          	Er(t)      	Ephi(t)    	Ez(t)      	Hr(t)      	Hphi(t)    	Hz(t)      	Jr(t)      	Jphi(t)    	Jz(t)      
0          	0          	0          	0          	0          	0          	0          	0.502395   	-0.502395  	0          	
0.0096     	0          	1.58532e-015	0          	0          	0          	7.92661e-016	0.498513   	-0.498513  	0          	
0.0192     	2.5244e-018	6.32638e-015	0          	0          	0          	3.75641e-015	0.494638   	-0.494638  	0          	
0.0288     	1.44875e-017	1.57773e-014	0          	0          	0          	1.05503e-014	0.490769   	-0.490769  	0          	
0.0384     	4.80873e-017	3.14759e-014	0          	0          	0          	2.28501e-014	0.486907   	-0.486907  	0          	
0.048      	1.20858e-016	5.49449e-014	0          	0          	0          	4.2218e-014	0.483052   	-0.483052  	0          	
0.0576     	2.5531e-016	8.76923e-014	0          	0          	0          	7.01105e-014	0.479205   	-0.479205  	0          	
0.0672     	4.78592e-016	1.31211e-013	0          	0          	0          	1.07952e-013	0.475364   	-0.475364  	0          	
0.0768     	8.22387e-016	1.86978e-013	0          	0          	0          	1.57191e-013	0.471531   	-0.471531  	0          	
0.0864     	1.32299e-015	2.56453e-013	0          	0          	0          	2.19304e-013	0.467705   	-0.467705  	0          	
0.096      	2.02142e-015	3.41079e-013	0          	0          	0          	2.95758e-013	0.463887   	-0.463887  	0          	
0.1056     	2.96332e-015	4.42285e-013	0          	0          	0          	3.87975e-013	0.460077   	-0.460076  	0          	
0.1152     	4.19891e-015	5.61481e-013	0          	0          	0          	4.97327e-013	0.456275   	-0.456273  	0          	
0.1248     	5.78275e-015	7.00062e-013	0          	0          	0          	6.25164e-013	0.45248    	-0.452478  	0          	
0.1344     	7.77372e-015	8.59407e-013	0          	0          	0          	7.72835e-013	0.448694   	-0.448692  	0          	
0.144      	1.0235e-014	1.04088e-012	0          	0          	0          	9.41691e-013	0.444916   	-0.444913  	0          	
0.1536     	1.3234e-014	1.24581e-012	0          	0          	0          	1.13307e-012	0.441147   	-0.441142  	0          	
0.1632     	1.68425e-014	1.47554e-012	0          	0          	0          	1.34826e-012	0.437386   	-0.43738   	0          	
0.1728     	2.11363e-014	1.73138e-012	0          	0          	0          	1.58854e-012	0.433634   	-0.433627  	0          	
0.1824     	2.61954e-014	2.01461e-012	0          	0          	0          	1.85516e-012	0.429891   	-0.429882  	0          	
0.192      	3.21035e-014	2.32651e-012	0          	0          	0          	2.14934e-012	0.426156   	-0.426146  	0          	
0.2016     	3.89485e-014	2.66833e-012	0          	0          	0          	2.47232e-012	0.422431   	-0.422418  	0          	
0.2112     	4.68221e-014	3.04133e-012	0          	0          	0          	2.8253e-012	0.418715   	-0.4187    	0          	
0.2208     	5.58199e-014	3.4467e-012	0          	0          	0          	3.20947e-012	0.415008   	-0.41499   	0          	
0.2304     	6.60412e-014	3.88566e-012	0          	0          	0          	3.62598e-012	0.411311   	-0.41129   	0          	
0.24       	7.75889e-014	4.3594e-012	0          	0          	0          	4.07596e-012	0.407624   	-0.407599  	0          	
0.2496     	9.05696e-014	4.86907e-012	0          	0          	0          	4.56053e-012	0.403946   	-0.403917  	0          	
0.2592     	1.05094e-013	5.41582e-012	0          	0          	0          	5.08078e-012	0.400278   	-0.400245  	0          	
