r          	Er(r)      	Ephi(r)    	Ez(r)      	Hr(r)      	Hphi(r)    	Hz(r)      	Jr(r)      	Jphi(r)    	Jz(r)      
1.45482e-13	-1.65328e-13	3.48723e-21	0.06       	2.62919e-20	3.26842e-20	2.45457e-14	0.00168368 	-0.00168841	-2.40312e-13
1.35551e-13	-1.53122e-13	6.29361e-21	0.12       	2.83988e-20	3.45215e-20	4.40886e-14	0.00168132 	-0.00168606	-4.63715e-13
1.39195e-13	-1.46329e-13	-1.28837e-20	0.18       	2.37435e-20	1.38486e-20	7.47532e-14	0.0016824  	-0.00168451	-7.0092e-13
1.41274e-13	-1.47452e-13	1.6427e-21 	0.24       	2.51596e-20	2.92875e-20	9.406e-14  	0.00168282 	-0.00168405	-9.40089e-13
1.41553e-13	-1.42907e-13	-4.59721e-21	0.3        	2.57923e-20	2.8654e-20 	1.1766e-13 	0.00168303 	-0.00168391	-1.16538e-12
1.42e-13   	-1.44435e-13	-1.08648e-20	0.36       	2.42883e-20	1.63958e-20	1.44685e-13	0.00168318 	-0.00168389	-1.40822e-12
1.42176e-13	-1.43233e-13	8.47138e-22	0.42       	2.58471e-20	3.55775e-20	1.61779e-13	0.00168327 	-0.00168393	-1.63647e-12
1.42107e-13	-1.412e-13 	-1.59065e-20	0.48       	2.47475e-20	1.5953e-20 	1.92611e-13	0.00168337 	-0.00168403	-1.87252e-12
1.4231e-13 	-1.44138e-13	-2.42076e-21	0.54       	2.51266e-20	3.06346e-20	2.11595e-13	0.00168347 	-0.00168417	-2.1092e-12
1.42149e-13	-1.40397e-13	-1.36322e-20	0.6        	2.51823e-20	2.36648e-20	2.37982e-13	0.00168356 	-0.00168434	-2.33823e-12
1.42171e-13	-1.42694e-13	-9.86099e-21	0.66       	2.4995e-20 	2.22935e-20	2.61612e-13	0.00168364 	-0.00168454	-2.58e-12  
1.41935e-13	-1.39376e-13	-9.90146e-21	0.72       	2.54299e-20	3.10202e-20	2.83203e-13	0.00168373 	-0.00168476	-2.8066e-12
1.41816e-13	-1.40669e-13	-1.6955e-20	0.78       	2.48452e-20	1.67745e-20	3.11144e-13	0.00168383 	-0.00168501	-3.04866e-12
1.41696e-13	-1.39456e-13	-7.87455e-21	0.84       	2.55902e-20	3.41144e-20	3.29151e-13	0.00168394 	-0.00168529	-3.27749e-12
1.41451e-13	-1.38285e-13	-2.14055e-20	0.9        	2.49912e-20	1.61373e-20	3.59074e-13	0.00168405 	-0.00168558	-3.51598e-12
1.4132e-13 	-1.39734e-13	-8.95521e-21	0.96       	2.53295e-20	3.23831e-20	3.7682e-13 	0.00168417 	-0.0016859 	-3.74988e-12
1.40972e-13	-1.35977e-13	-2.26482e-20	1.02       	2.528e-20  	1.95648e-20	4.05188e-13	0.00168429 	-0.00168625	-3.98353e-12
1.40877e-13	-1.38787e-13	-1.29167e-20	1.08       	2.52153e-20	2.77646e-20	4.2606e-13 	0.00168442 	-0.00168662	-4.22228e-12
1.40566e-13	-1.34927e-13	-2.1835e-20	1.14       	2.53e-20   	2.4413e-20 	4.51215e-13	0.00168455 	-0.001687  	-4.4526e-12
1.40423e-13	-1.36572e-13	-1.80238e-20	1.2        	2.51286e-20	2.2915e-20 	4.74806e-13	0.0016847  	-0.00168742	-4.69426e-12
1.40039e-13	-1.33251e-13	-2.0575e-20	1.26       	2.54564e-20	2.88331e-20	4.97494e-13	0.00168484 	-0.00168785	-4.923e-12 
1.39828e-13	-1.34307e-13	-2.3143e-20	1.32       	2.51271e-20	1.89854e-20	5.23737e-13	0.00168501 	-0.00168831	-5.16596e-12
1.39408e-13	-1.31713e-13	-1.9663e-20	1.38       	2.56701e-20	3.18049e-20	5.43741e-13	0.00168515 	-0.00168879	-5.39501e-12
1.39084e-13	-1.31545e-13	-2.76182e-20	1.44       	2.52591e-20	1.69145e-20	5.72303e-13	0.00168534 	-0.00168929	-5.63735e-12
1.38817e-13	-1.3106e-13	-1.97357e-20	1.5        	2.56185e-20	3.26001e-20	5.90901e-13	0.00168553 	-0.00168982	-5.86867e-12
1.3833e-13 	-1.28808e-13	-3.06598e-20	1.56       	2.54071e-20	1.70037e-20	6.19656e-13	0.00168569 	-0.00169036	-6.10901e-12
1.38044e-13	-1.29233e-13	-2.12702e-20	1.62       	2.55996e-20	3.153e-20  	6.38587e-13	0.00168589 	-0.00169094	-6.34323e-12
1.37666e-13	-1.26181e-13	-3.24698e-20	1.68       	2.55588e-20	1.86158e-20	6.66794e-13	0.00168611 	-0.00169153	-6.58139e-12
1.3726e-13 	-1.27096e-13	-2.38445e-20	1.74       	2.5578e-20 	2.91805e-20	6.86939e-13	0.00168632 	-0.00169214	-6.81875e-12
1.3683e-13 	-1.23277e-13	-3.33926e-20	1.8        	2.56132e-20	2.11927e-20	7.13846e-13	0.00168653 	-0.00169278	-7.05472e-12
1.36387e-13	-1.24293e-13	-2.72237e-20	1.86       	2.57052e-20	2.61869e-20	7.35992e-13	0.00168673 	-0.00169344	-7.29492e-12
1.35923e-13	-1.20863e-13	-3.38577e-20	1.92       	2.57225e-20	2.40761e-20	7.61174e-13	0.00168698 	-0.00169412	-7.52919e-12
1.35485e-13	-1.21601e-13	-3.07439e-20	1.98       	2.56104e-20	2.32092e-20	7.846e-13  	0.00168722 	-0.00169482	-7.77185e-12
1.34934e-13	-1.17813e-13	-3.4274e-20	2.04       	2.58386e-20	2.67924e-20	8.08013e-13	0.00168744 	-0.00169555	-8.00482e-12
1.34553e-13	-1.18663e-13	-3.42857e-20	2.1        	2.56099e-20	2.05265e-20	8.33435e-13	0.00168772 	-0.00169629	-8.24946e-12
1.33919e-13	-1.15155e-13	-3.47634e-20	2.16       	2.60019e-20	2.89151e-20	8.54627e-13	0.00168797 	-0.00169707	-8.48192e-12
1.33433e-13	-1.15116e-13	-3.75266e-20	2.22       	2.57742e-20	1.87125e-20	8.82136e-13	0.00168825 	-0.00169786	-8.72761e-12
1.32921e-13	-1.12964e-13	-3.57446e-20	2.28       	2.59913e-20	2.99203e-20	9.02012e-13	0.00168852 	-0.00169867	-8.96068e-12
1.32349e-13	-1.11223e-13	-4.00752e-20	2.34       	2.59161e-20	1.80518e-20	9.29799e-13	0.00168879 	-0.00169951	-9.2066e-12
1.31727e-13	-1.09594e-13	-3.75444e-20	2.4        	2.61779e-20	2.99048e-20	9.5016e-13 	0.00168909 	-0.00170037	-9.44067e-12
1.31257e-13	-1.07882e-13	-4.20093e-20	2.46       	2.59962e-20	1.81565e-20	9.7816e-13 	0.0016894  	-0.00170125	-9.68679e-12
1.30552e-13	-1.06261e-13	-3.97294e-20	2.52       	2.61953e-20	2.92164e-20	9.98283e-13	0.00168969 	-0.00170216	-9.92211e-12
1.3005e-13 	-1.03592e-13	-4.34989e-20	2.58       	2.60201e-20	1.89686e-20	1.02623e-12	0.00169    	-0.00170308	-1.0168e-11
1.29312e-13	-1.02646e-13	-4.25219e-20	2.64       	2.61832e-20	2.7844e-20 	1.04672e-12	0.0016903  	-0.00170403	-1.04048e-11
1.28696e-13	-9.96563e-14	-4.43867e-20	2.7        	2.63696e-20	2.04139e-20	1.07375e-12	0.00169064 	-0.001705  	-1.06506e-11
1.28085e-13	-9.88064e-14	-4.58144e-20	2.76       	2.63544e-20	2.59128e-20	1.09527e-12	0.00169098 	-0.00170599	-1.08889e-11
1.27368e-13	-9.56407e-14	-4.49273e-20	2.82       	2.62912e-20	2.22215e-20	1.12133e-12	0.00169132 	-0.00170701	-1.11345e-11
3.07005e-13	-9.49092e-14	-4.93473e-20	2.88       	2.65593e-20	2.36882e-20	1.14419e-12	0.00164076 	-0.00169753	-1.12879e-11
6.30405e-13	-9.54585e-14	-4.48522e-20	2.94       	2.71403e-20	2.42276e-20	1.16749e-12	0.00144673 	-0.00166647	-1.1262e-11
3.32346e-13	-1.04073e-13	-5.20924e-20	3          	2.67489e-20	2.1479e-20 	1.18992e-12	0.00102398 	-0.00161226	-1.10559e-11
-2.03289e-12	-1.05173e-13	-4.28764e-20	3.06       	2.45898e-20	2.61179e-20	1.20889e-12	0.000391577	-0.00153263	-1.07726e-11
-8.00084e-12	-6.12596e-14	-5.25255e-20	3.12       	1.97731e-20	1.9424e-20 	1.22883e-12	-5.39088e-05	-0.00142684	-1.06114e-11
-1.68236e-11	9.38303e-14	-4.01027e-20	3.18       	1.28118e-20	2.77171e-20	1.24202e-12	0.000673162	-0.00130232	-1.08214e-11
-2.16121e-11	4.06816e-13	-5.74274e-20	3.24       	9.15637e-21	1.7267e-20 	1.25883e-12	0.00373726 	-0.00118301	-1.14048e-11
-8.71706e-12	7.94412e-13	-5.06992e-20	3.3        	1.97766e-20	2.86659e-20	1.2649e-12 	0.00893763 	-0.00110788	-1.18172e-11
3.10881e-11	9.40433e-13	-8.13398e-20	3.36       	5.10318e-20	1.55546e-20	1.27652e-12	0.01296    	-0.00110316	-1.10263e-11
8.04449e-11	3.79799e-13	-7.35872e-20	3.42       	8.86638e-20	3.02094e-20	1.27414e-12	0.0105743  	-0.00113459	-8.41501e-12
9.0749e-11 	-1.00852e-12	-9.32564e-20	3.48       	9.53924e-20	1.62625e-20	1.27774e-12	0.000604189	-0.00109506	-4.78986e-12
3.07208e-11	-2.52905e-12	-6.14435e-20	3.54       	4.98184e-20	3.33717e-20	1.2654e-12 	-0.00931455	-0.000890723	-2.04873e-12
-4.78979e-11	-2.99322e-12	-7.2109e-20	3.6        	-7.78921e-21	1.74476e-20	1.26162e-12	-0.00937078	-0.000569873	-1.21692e-12
-4.86566e-11	-2.1588e-12	-4.75787e-20	3.66       	-7.54268e-21	3.38225e-20	1.24312e-12	-0.00123679	-0.000307528	-1.39181e-12
1.73573e-11	-1.33296e-12	-7.32617e-20	3.72       	3.96176e-20	1.63463e-20	1.23656e-12	0.00294759 	-0.000201041	-1.21972e-12
7.74633e-12	-1.58818e-12	-4.78209e-20	3.78       	3.27711e-20	3.37608e-20	1.21446e-12	-0.00101569	-0.000159666	-6.18704e-13
-1.17968e-10	-1.67737e-12	-6.64427e-20	3.84       	-5.29312e-20	1.70337e-20	1.20586e-12	-0.0043262 	-8.07241e-05	-1.89405e-13
-1.81831e-10	1.61624e-13	-3.89726e-20	3.9        	-9.47221e-20	3.25805e-20	1.18289e-12	-0.00238136	-5.84157e-06	-5.21297e-14
