T          	Er(t)      	Ephi(t)    	Ez(t)      	Hr(t)      	Hphi(t)    	Hz(t)      	Jr(t)      	Jphi(t)    	Jz(t)      
0          	0          	0          	0          	0          	0          	0          	0.478562   	-0.478562  	0          	
0.06125    	0          	0          	0          	0          	0          	0          	0.457146   	-0.457146  	0          	
0.1225     	0          	1.99271e-013	0          	8.71041e-021	9.01077e-021	9.96354e-014	0.435793   	-0.435791  	-4.56416e-012	
0.18375    	1.66059e-015	1.08151e-012	-4.65056e-021	4.71966e-020	4.86827e-020	6.14622e-013	0.414546   	-0.414533  	-1.7777e-011	
0.245      	1.19043e-014	3.35259e-012	-2.85771e-020	1.45993e-019	1.50082e-019	2.11264e-012	0.393445   	-0.393409  	-4.31901e-011	
0.30625    	4.71149e-014	7.78571e-012	-9.77861e-020	3.38141e-019	3.46369e-019	5.33015e-012	0.372533   	-0.372452  	-8.37784e-011	
0.3675     	1.35951e-013	1.50724e-011	-2.45507e-019	6.5256e-019	6.66092e-019	1.10165e-011	0.351851   	-0.351694  	-1.41906e-010	
0.42875    	3.1956e-013	2.57533e-011	-5.04898e-019	1.11102e-018	1.13043e-018	1.97973e-011	0.331439   	-0.331165  	-2.19304e-010	
0.49       	6.49515e-013	4.02355e-011	-9.03023e-019	1.72901e-018	1.75439e-018	3.21248e-011	0.311338   	-0.310894  	-3.17053e-010	
0.55125    	1.18493e-012	5.88464e-011	-1.45909e-018	2.5182e-018	2.54938e-018	4.83147e-011	0.291584   	-0.290908  	-4.35586e-010	
0.6125     	1.99017e-012	8.18661e-011	-2.18649e-018	3.48798e-018	3.52445e-018	6.86112e-011	0.272213   	-0.271233  	-5.74694e-010	
0.67375    	3.1337e-012	1.09515e-010	-3.09577e-018	4.64495e-018	4.68546e-018	9.32193e-011	0.25326    	-0.251893  	-7.33547e-010	
0.735      	4.68735e-012	1.41916e-010	-4.19562e-018	5.99132e-018	6.03333e-018	1.22283e-010	0.234757   	-0.232909  	-9.10733e-010	
0.79625    	6.72539e-012	1.79069e-010	-5.49147e-018	7.52382e-018	7.56307e-018	1.55839e-010	0.216732   	-0.214302  	-1.10432e-009	
