T          	Er(t)      	Ephi(t)    	Ez(t)      	Hr(t)      	Hphi(t)    	Hz(t)      	Jr(t)      	Jphi(t)    	Jz(t)      	
0          	0          	0          	0          	0          	0          	0          	0.43252    	-0.43252   	0          	
1.5e-11    	0          	1.01296e-13	0          	0          	0          	5.06481e-14	0.373692   	-0.373692  	0          	
3e-11      	7.44826e-16	3.90449e-13	0          	0          	-3.68126e-14	2.32827e-13	0.322428   	-0.322427  	1.81318e-05	
4.5e-11    	4.16876e-15	9.4063e-13 	1.84063e-14	0          	-1.96367e-13	6.33386e-13	0.27776    	-0.277757  	6.75357e-05	
6e-11      	1.34833e-14	1.8133e-12 	1.11853e-13	0          	-5.97844e-13	1.32698e-12	0.238844   	-0.238835  	0.000157292	
7.5e-11    	3.29977e-14	3.05991e-12	3.78435e-13	0          	-1.36258e-12	2.36942e-12	0.204945   	-0.204926  	0.0002932  	
9e-11      	6.78421e-14	4.72321e-12	9.38945e-13	0          	-2.58751e-12	3.80082e-12	0.175424   	-0.175387  	0.00047843 	
1.05e-10   	1.23736e-13	6.83804e-12	1.90684e-12	0          	-4.33623e-12	5.65247e-12	0.14972    	-0.149657  	0.000714066	
1.2e-10    	2.06861e-13	9.43185e-12	3.36501e-12	0          	-6.64716e-12	7.95127e-12	0.127348   	-0.127249  	0.000999552	
1.35e-10   	3.23791e-13	1.25252e-11	5.36108e-12	0          	-9.54753e-12	1.07198e-11	0.107883   	-0.107736  	0.00133307 	
1.5e-10    	4.81436e-13	1.61326e-11	7.91915e-12	0          	-1.30618e-11	1.39742e-11	0.0909566  	-0.090748  	0.00171182 	
1.65e-10   	6.86939e-13	2.02631e-11	1.10556e-11	0          	-1.72103e-11	1.77223e-11	0.0762455  	-0.0759606 	0.00213233 	
1.8e-10    	9.47561e-13	2.4921e-11 	1.47866e-11	0          	-2.20038e-11	2.19652e-11	0.0634689  	-0.0630919 	0.00259059 	
1.95e-10   	1.27058e-12	3.01065e-11	1.91251e-11	0          	-2.74393e-11	2.66994e-11	0.052382   	-0.0518959 	0.00308225 	
2.1e-10    	1.66322e-12	3.58151e-11	2.40731e-11	0          	-3.3503e-11	3.19184e-11	0.042771   	-0.0421582 	0.00360275 	
2.25e-10   	2.1326e-12 	4.20385e-11	2.96177e-11	0          	-4.01755e-11	3.7613e-11 	0.0344497  	-0.0336919 	0.00414741 	
2.4e-10    	2.68574e-12	4.87647e-11	3.57348e-11	0          	-4.74357e-11	4.37702e-11	0.0272555  	-0.026334  	0.00471154 	
2.55e-10   	3.32942e-12	5.59783e-11	4.23963e-11	0          	-5.52609e-11	5.03725e-11	0.0210465  	-0.0199425 	0.00529047 	
2.7e-10    	4.07019e-12	6.36611e-11	4.95744e-11	0          	-6.36229e-11	5.73982e-11	0.015699   	-0.0143935 	0.00587961 	
2.85e-10   	4.91428e-12	7.17923e-11	5.724e-11  	0          	-7.24871e-11	6.48233e-11	0.0111047  	-0.00957921	0.00647448 	
3e-10      	5.86757e-12	8.03482e-11	6.53591e-11	0          	-8.18128e-11	7.2622e-11 	0.00716937 	-0.00540539	0.00707073 	
3.15e-10   	6.93554e-12	8.93025e-11	7.389e-11  	0          	-9.15571e-11	8.07668e-11	0.00381041 	-0.00179002	0.00766417 	
3.3e-10    	8.12328e-12	9.86267e-11	8.27854e-11	0          	-1.01677e-10	8.92279e-11	0.000955705	0.00133844 	0.00825076 	
3.45e-10   	9.43546e-12	1.0829e-10 	9.19965e-11	0          	-1.12128e-10	9.79727e-11	-0.00145785	0.00404238 	0.00882662 	
3.6e-10    	1.08762e-11	1.1826e-10 	1.01476e-10	0          	-1.22865e-10	1.06966e-10	-0.0034855 	0.0063762  	0.00938804 	
3.75e-10   	1.24493e-11	1.28503e-10	1.11176e-10	0          	-1.33837e-10	1.16173e-10	-0.00517563	0.00838732 	0.00993143 	
3.9e-10    	1.41577e-11	1.38984e-10	1.21047e-10	0          	-1.44992e-10	1.25555e-10	-0.00657064	0.010117   	0.0104534  	
4.05e-10   	1.60041e-11	1.49664e-10	1.31036e-10	0          	-1.56275e-10	1.35076e-10	-0.00770777	0.0116008  	0.0109507  	
4.2e-10    	1.79905e-11	1.60507e-10	1.41087e-10	0          	-1.67636e-10	1.44696e-10	-0.00861973	0.0128693  	0.0114202  	
4.35e-10   	2.01184e-11	1.71472e-10	1.51144e-10	0          	-1.79022e-10	1.54375e-10	-0.0093353 	0.0139478  	0.0118589  	
4.5e-10    	2.23886e-11	1.82519e-10	1.61154e-10	0          	-1.9038e-10	1.64073e-10	-0.00987987	0.0148567  	0.0122637  	
4.65e-10   	2.48014e-11	1.9361e-10 	1.71065e-10	0          	-2.01656e-10	1.73747e-10	-0.0102759 	0.0156118  	0.0126315  	
4.8e-10    	2.73565e-11	2.04701e-10	1.80823e-10	0          	-2.12796e-10	1.83358e-10	-0.0105434 	0.016225   	0.0129586  	
4.95e-10   	3.0053e-11 	2.15753e-10	1.90377e-10	0          	-2.23746e-10	1.92865e-10	-0.0107001 	0.0167068  	0.0132404  	
5.1e-10    	3.28892e-11	2.26724e-10	1.99671e-10	0          	-2.34454e-10	2.02226e-10	-0.0107621 	0.0170698  	0.0134712  	
5.25e-10   	3.58631e-11	2.37572e-10	2.08654e-10	0          	-2.4487e-10	2.11402e-10	-0.0107436 	0.0173329  	0.013645   	
5.4e-10    	3.8972e-11 	2.48258e-10	2.17276e-10	0          	-2.54945e-10	2.20352e-10	-0.0106573 	0.0175248  	0.0137567  	
5.55e-10   	4.22125e-11	2.58741e-10	2.2549e-10 	0          	-2.6463e-10	2.29036e-10	-0.0105141 	0.0176836  	0.0138057  	
5.7e-10    	4.55806e-11	2.68982e-10	2.33253e-10	0          	-2.73878e-10	2.37418e-10	-0.010323  	0.0178517  	0.0138002  	
5.85e-10   	4.90721e-11	2.78942e-10	2.40519e-10	0          	-2.82643e-10	2.4546e-10 	-0.0100911 	0.0180652  	0.0137613  	
6e-10      	5.26818e-11	2.88585e-10	2.47245e-10	0          	-2.90883e-10	2.53127e-10	-0.00982334	0.0183408  	0.0137243  	
6.15e-10   	5.64042e-11	2.97874e-10	2.53391e-10	0          	-2.9856e-10	2.60384e-10	-0.00952354	0.0186664  	0.0137346  	
6.3e-10    	6.02334e-11	3.06775e-10	2.58922e-10	0          	-3.05636e-10	2.672e-10  	-0.00919464	0.0190008  	0.0138365  	
6.45e-10   	6.41628e-11	3.15256e-10	2.63805e-10	0          	-3.12076e-10	2.73544e-10	-0.0088398 	0.0192853  	0.0140574  	
6.6e-10    	6.81855e-11	3.23285e-10	2.6801e-10 	0          	-3.17847e-10	2.79387e-10	-0.00846314	0.019464   	0.0143922  	
6.75e-10   	7.22942e-11	3.30834e-10	2.71511e-10	0          	-3.22922e-10	2.84703e-10	-0.00806999	0.0195038  	0.0147962  	
6.9e-10    	7.6481e-11 	3.37876e-10	2.74283e-10	0          	-3.27273e-10	2.8947e-10 	-0.00766657	0.0194044  	0.0151919  	
7.05e-10   	8.07379e-11	3.44387e-10	2.76303e-10	0          	-3.30881e-10	2.93664e-10	-0.0072593 	0.0191937  	0.0154914  	
7.2e-10    	8.50565e-11	3.50344e-10	2.77557e-10	0          	-3.33727e-10	2.97267e-10	-0.00685382	0.0189102  	0.0156253  	
7.35e-10   	8.94281e-11	3.55727e-10	2.78033e-10	0          	-3.35796e-10	3.00263e-10	-0.00645449	0.0185841  	0.0155668  	
7.5e-10    	9.38437e-11	3.6052e-10 	2.77723e-10	0          	-3.37076e-10	3.02637e-10	-0.00606436	0.0182279  	0.0153384  	
7.65e-10   	9.82942e-11	3.64707e-10	2.7662e-10 	0          	-3.37558e-10	3.04377e-10	-0.00568553	0.0178419  	0.0149975  	
7.8e-10    	1.0277e-10 	3.68274e-10	2.74722e-10	0          	-3.37239e-10	3.05477e-10	-0.00531976	0.0174279  	0.014608   	
7.95e-10   	1.07263e-10	3.7121e-10 	2.72031e-10	0          	-3.36118e-10	3.05926e-10	-0.00496862	0.017002   	0.0142146  	
8.1e-10    	1.11762e-10	3.73501e-10	2.68552e-10	0          	-3.34196e-10	3.05717e-10	-0.00463339	0.0165928  	0.0138326  	
8.25e-10   	1.16257e-10	3.7513e-10 	2.64296e-10	0          	-3.31476e-10	3.04841e-10	-0.00431465	0.0162283  	0.0134592  	
8.4e-10    	1.2074e-10 	3.76074e-10	2.59273e-10	0          	-3.27956e-10	3.03284e-10	-0.00401202	0.0159194  	0.0130946  	
8.55e-10   	1.252e-10  	3.76295e-10	2.53491e-10	0          	-3.23633e-10	3.01021e-10	-0.00372442	0.015653   	0.0127575  	
8.7e-10    	1.29627e-10	3.75738e-10	2.46958e-10	0          	-3.1849e-10	2.98012e-10	-0.00345067	0.0154009  	0.0124824  	
8.85e-10   	1.3401e-10 	3.74328e-10	2.39671e-10	0          	-3.12494e-10	2.942e-10  	-0.00319005	0.015137   	0.012299   	
9e-10      	1.38336e-10	3.71969e-10	2.31615e-10	0          	-3.05587e-10	2.89504e-10	-0.00294266	0.0148516  	0.0122113  	
9.15e-10   	1.42594e-10	3.68565e-10	2.22756e-10	0          	-2.97683e-10	2.83838e-10	-0.00270912	0.0145501  	0.0121894  	
9.3e-10    	1.46768e-10	3.64052e-10	2.1303e-10 	0          	-2.88674e-10	2.77127e-10	-0.00249011	0.0142413  	0.0121847  	
