T          	Er(t)      	Ephi(t)    	Ez(t)      	Hr(t)      	Hphi(t)    	Hz(t)      	Jr(t)      	Jphi(t)    	Jz(t)      
0          	0          	0          	0          	0          	0          	0          	0.484687   	-0.484687  	0          	
0.04375    	0          	0          	0          	0          	0          	0          	0.46938    	-0.46938   	0          	
0.0875     	0          	1.44158e-013	0          	6.30135e-021	6.51864e-021	7.2079e-014	0.454093   	-0.454092  	-2.35846e-012	
0.13125    	1.20132e-015	7.84161e-013	-3.36434e-021	3.42207e-020	3.52985e-020	4.45519e-013	0.438844   	-0.438838  	-9.24976e-012	
0.175      	8.62664e-015	2.43669e-012	-2.07148e-020	1.0611e-019	1.09085e-019	1.53466e-012	0.423649   	-0.42363   	-2.26345e-011	
0.21875    	3.42043e-014	5.67327e-012	-7.1036e-020	2.46401e-019	2.52412e-019	3.88093e-012	0.408525   	-0.408482  	-4.42329e-011	
0.2625     	9.88865e-014	1.1013e-011	-1.78767e-019	4.7683e-019	4.8677e-019	8.04147e-012	0.39349    	-0.393407  	-7.55025e-011	
0.30625    	2.32911e-013	1.8872e-011	-3.68588e-019	8.14214e-019	8.28578e-019	1.44904e-011	0.378563   	-0.378415  	-1.17619e-010	
0.35       	4.74417e-013	2.95744e-011	-6.61066e-019	1.27101e-018	1.29e-018  	2.35819e-011	0.363761   	-0.363518  	-1.71464e-010	
0.39375    	8.6745e-013	4.33909e-011	-1.07134e-018	1.85709e-018	1.88076e-018	3.55757e-011	0.349101   	-0.348728  	-2.37612e-010	
0.4375     	1.46038e-012	6.05617e-011	-1.61054e-018	2.58081e-018	2.60908e-018	5.06832e-011	0.334601   	-0.334054  	-3.16329e-010	
0.48125    	2.3051e-012	8.12878e-011	-2.28791e-018	3.44865e-018	3.48106e-018	6.90907e-011	0.320278   	-0.319506  	-4.07571e-010	
0.525      	3.45661e-012	1.05704e-010	-3.11157e-018	4.46405e-018	4.49943e-018	9.09441e-011	0.306149   	-0.305093  	-5.10996e-010	
0.56875    	4.97235e-012	1.3386e-010	-4.08745e-018	5.62667e-018	5.66284e-018	1.16316e-010	0.292229   	-0.290822  	-6.25981e-010	
0.6125     	6.91095e-012	1.65724e-010	-5.21784e-018	6.93252e-018	6.96628e-018	1.45187e-010	0.278533   	-0.276702  	-7.51662e-010	
0.65625    	9.33073e-012	2.01199e-010	-6.50068e-018	8.37482e-018	8.40196e-018	1.77453e-010	0.265074   	-0.26274   	-8.86986e-010	
0.7        	1.22883e-011	2.40136e-010	-7.9302e-018	9.94466e-018	9.95988e-018	2.1295e-010	0.251867   	-0.248941  	-1.03079e-009	
0.74375    	1.58374e-011	2.82338e-010	-9.4981e-018	1.16311e-017	1.16277e-017	2.5147e-010	0.238921   	-0.235312  	-1.18186e-009	
0.7875     	2.00286e-011	3.27545e-010	-1.11941e-017	1.34206e-017	1.33903e-017	2.92761e-010	0.226248   	-0.22186   	-1.33903e-009	
0.83125    	2.4908e-011	3.75434e-010	-1.30057e-017	1.52971e-017	1.52298e-017	3.36511e-010	0.213858   	-0.20859   	-1.50121e-009	
0.875      	3.05165e-011	4.25622e-010	-1.49173e-017	1.72423e-017	1.71258e-017	3.82346e-010	0.201759   	-0.195508  	-1.66739e-009	
0.91875    	3.68889e-011	4.77685e-010	-1.69104e-017	1.92362e-017	1.90566e-017	4.29838e-010	0.189959   	-0.182621  	-1.83662e-009	
0.9625     	4.40529e-011	5.31172e-010	-1.89642e-017	2.12581e-017	2.09997e-017	4.78524e-010	0.178465   	-0.169935  	-2.008e-009	
1.00625    	5.20283e-011	5.8561e-010	-2.10568e-017	2.32867e-017	2.2932e-017	5.27925e-010	0.167283   	-0.157456  	-2.18063e-009	
1.05       	6.0827e-011	6.40501e-010	-2.31654e-017	2.53e-017  	2.48294e-017	5.77552e-010	0.156418   	-0.14519   	-2.35363e-009	
1.09375    	7.04529e-011	6.95335e-010	-2.52669e-017	2.72757e-017	2.6668e-017	6.26899e-010	0.145875   	-0.133142  	-2.52613e-009	
1.1375     	8.09012e-011	7.49594e-010	-2.73373e-017	2.91918e-017	2.84242e-017	6.75455e-010	0.135657   	-0.121318  	-2.69734e-009	
1.18125    	9.21588e-011	8.0278e-010	-2.93525e-017	3.10275e-017	3.00762e-017	7.2271e-010	0.125766   	-0.109722  	-2.8665e-009	
1.225      	1.04204e-010	8.54432e-010	-3.12891e-017	3.27638e-017	3.16048e-017	7.68187e-010	0.116205   	-0.0983606 	-3.03292e-009	
1.26875    	1.17007e-010	9.04149e-010	-3.3126e-017	3.43848e-017	3.29946e-017	8.11467e-010	0.106974   	-0.0872376 	-3.19594e-009	
1.3125     	1.30532e-010	9.51603e-010	-3.48452e-017	3.58784e-017	3.42343e-017	8.52202e-010	0.098075   	-0.0763579 	-3.35493e-009	
1.35625    	1.44735e-010	9.9656e-010	-3.64326e-017	3.72363e-017	3.53179e-017	8.90131e-010	0.0895072  	-0.0657258 	-3.5093e-009	
1.4        	1.5957e-010	1.03889e-009	-3.78789e-017	3.84551e-017	3.62444e-017	9.25093e-010	0.0812696  	-0.0553454 	-3.65846e-009	
1.44375    	1.74989e-010	1.07856e-009	-3.91794e-017	3.95362e-017	3.70179e-017	9.57028e-010	0.0733611  	-0.0452208 	-3.8019e-009	
1.4875     	1.90939e-010	1.11564e-009	-4.03349e-017	4.04849e-017	3.7646e-017	9.8598e-010	0.0657794  	-0.0353558 	-3.93915e-009	
1.53125    	2.07372e-010	1.15025e-009	-4.135e-017	4.13086e-017	3.81371e-017	1.01206e-009	0.0585221  	-0.0257547 	-4.06974e-009	
1.575      	2.2424e-010	1.18251e-009	-4.22323e-017	4.20148e-017	3.84979e-017	1.03543e-009	0.051586   	-0.0164221 	-4.19323e-009	
1.61875    	2.41497e-010	1.21249e-009	-4.29887e-017	4.2609e-017	3.87319e-017	1.05622e-009	0.0449673  	-0.0073637 	-4.3091e-009	
1.6625     	2.59101e-010	1.24022e-009	-4.3624e-017	4.3094e-017	3.884e-017 	1.07449e-009	0.0386619  	0.00141369 	-4.4168e-009	
1.70625    	2.77009e-010	1.26566e-009	-4.41395e-017	4.34704e-017	3.88213e-017	1.09026e-009	0.032665   	0.00990178 	-4.51565e-009	
1.75       	2.9518e-010	1.28877e-009	-4.45339e-017	4.37381e-017	3.86763e-017	1.10351e-009	0.0269714  	0.0180912  	-4.60488e-009	
1.79375    	3.13572e-010	1.30951e-009	-4.48059e-017	4.38979e-017	3.84075e-017	1.11422e-009	0.021575   	0.025973   	-4.68364e-009	
1.8375     	3.32142e-010	1.3279e-009	-4.49558e-017	4.39526e-017	3.80206e-017	1.12239e-009	0.0164697  	0.0335415  	-4.75114e-009	
1.88125    	3.50849e-010	1.34401e-009	-4.49871e-017	4.39068e-017	3.75224e-017	1.12809e-009	0.0116484  	0.0407975  	-4.80683e-009	
1.925      	3.6965e-010	1.3579e-009	-4.49053e-017	4.37657e-017	3.69195e-017	1.1314e-009	0.00710398 	0.0477524  	-4.85077e-009	
1.96875    	3.88507e-010	1.36965e-009	-4.47167e-017	4.35342e-017	3.62161e-017	1.13244e-009	0.00282908 	0.0544293  	-4.88384e-009	
2.0125     	4.07381e-010	1.3793e-009	-4.44261e-017	4.32154e-017	3.54144e-017	1.13126e-009	-0.00118355	0.0608612  	-4.9079e-009	
2.05625    	4.26235e-010	1.38683e-009	-4.40362e-017	4.28106e-017	3.45144e-017	1.12792e-009	-0.00494073	0.0670843  	-4.92557e-009	
2.1        	4.45034e-010	1.39222e-009	-4.35473e-017	4.23204e-017	3.35156e-017	1.1224e-009	-0.00844873	0.0731279  	-4.93968e-009	
2.14375    	4.63741e-010	1.39543e-009	-4.29584e-017	4.17447e-017	3.24173e-017	1.11471e-009	-0.0117133 	0.0790027  	-4.95252e-009	
2.1875     	4.82319e-010	1.39643e-009	-4.2268e-017	4.1084e-017	3.12167e-017	1.10481e-009	-0.0147398 	0.0846941  	-4.96505e-009	
2.23125    	5.00733e-010	1.39517e-009	-4.14737e-017	4.03379e-017	2.99077e-017	1.0927e-009	-0.0175339 	0.0901624  	-4.9766e-009	
2.275      	5.18944e-010	1.39158e-009	-4.05706e-017	3.95045e-017	2.84786e-017	1.07832e-009	-0.0201022 	0.0953532  	-4.98511e-009	
2.31875    	5.36916e-010	1.3855e-009	-3.95497e-017	3.85798e-017	2.69144e-017	1.0616e-009	-0.0224522 	0.100213   	-4.98799e-009	
2.3625     	5.54609e-010	1.37679e-009	-3.83973e-017	3.7559e-017	2.52032e-017	1.04242e-009	-0.024593  	0.104708   	-4.98308e-009	
2.40625    	5.71983e-010	1.36536e-009	-3.70993e-017	3.6441e-017	2.33465e-017	1.02067e-009	-0.026535  	0.10883    	-4.96927e-009	
2.45       	5.88994e-010	1.35133e-009	-3.56489e-017	3.52335e-017	2.13705e-017	9.96383e-010	-0.028289  	0.112595   	-4.94636e-009	
2.49375    	6.05601e-010	1.33515e-009	-3.40583e-017	3.3959e-017	1.93357e-017	9.69851e-010	-0.0298657 	0.116033   	-4.91417e-009	
2.5375     	6.21765e-010	1.31772e-009	-3.23688e-017	3.26572e-017	1.73373e-017	9.41743e-010	-0.0312755 	0.119169   	-4.87147e-009	
2.58125    	6.37461e-010	1.30026e-009	-3.06572e-017	3.13833e-017	1.54959e-017	9.13129e-010	-0.032528  	0.122016   	-4.81564e-009	
2.625      	6.52679e-010	1.28424e-009	-2.90316e-017	3.01993e-017	1.39331e-017	8.85377e-010	-0.0336326 	0.124577   	-4.74339e-009	
2.66875    	6.67436e-010	1.27098e-009	-2.76144e-017	2.91591e-017	1.27375e-017	8.59893e-010	-0.0345981 	0.126854   	-4.65236e-009	
2.7125     	6.81767e-010	1.26118e-009	-2.65136e-017	2.82891e-017	1.19273e-017	8.37723e-010	-0.0354336 	0.12886    	-4.5428e-009	
2.75625    	6.95729e-010	1.25454e-009	-2.57861e-017	2.75691e-017	1.14245e-017	8.19106e-010	-0.036148  	0.13062    	-4.41805e-009	
2.8        	7.09381e-010	1.24944e-009	-2.5405e-017	2.69225e-017	1.10556e-017	8.03101e-010	-0.0367499 	0.132162   	-4.28352e-009	
2.84375    	7.22766e-010	1.24304e-009	-2.52458e-017	2.6222e-017	1.05893e-017	7.87496e-010	-0.0372469 	0.133505   	-4.14458e-009	
2.8875     	7.35891e-010	1.23189e-009	-2.5103e-017	2.53163e-017	9.80437e-018	7.69126e-010	-0.0376466 	0.134652   	-4.00463e-009	
2.93125    	7.4871e-010	1.21288e-009	-2.47421e-017	2.40729e-017	8.56387e-018	7.44644e-010	-0.0379557 	0.135582   	-3.86467e-009	
2.975      	7.61121e-010	1.18432e-009	-2.39726e-017	2.24252e-017	6.86255e-018	7.11565e-010	-0.0381813 	0.136273   	-3.72439e-009	
3.01875    	7.7298e-010	1.14672e-009	-2.27126e-017	2.0403e-017	4.81727e-018	6.69225e-010	-0.0383312 	0.136709   	-3.58383e-009	
3.0625     	7.84134e-010	1.10277e-009	-2.10129e-017	1.81316e-017	2.59807e-018	6.1922e-010	-0.0384131 	0.136885   	-3.44438e-009	
3.10625    	7.94454e-010	1.05653e-009	-1.90221e-017	1.57936e-017	3.29989e-019	5.65038e-010	-0.0384355 	0.136811   	-3.30796e-009	
3.15       	8.03871e-010	1.01203e-009	-1.69014e-017	1.35666e-017	-1.98025e-018	5.10922e-010	-0.0384063 	0.136489   	-3.17516e-009	
3.19375    	8.12387e-010	9.71809e-010	-1.47331e-017	1.15629e-017	-4.44353e-018	4.60386e-010	-0.0383335 	0.135913   	-3.04382e-009	
3.2375     	8.2006e-010	9.36207e-010	-1.24749e-017	9.79877e-018	-7.20172e-018	4.15038e-010	-0.0382248 	0.135068   	-2.90926e-009	
3.28125    	8.26977e-010	9.03636e-010	-9.99753e-018	8.20844e-018	-1.02961e-017	3.74268e-010	-0.0380879 	0.13394    	-2.7663e-009	
3.325      	8.33215e-010	8.71757e-010	-7.1941e-018	6.69507e-018	-1.35693e-017	3.35956e-010	-0.0379311 	0.13253    	-2.61169e-009	
3.36875    	8.38814e-010	8.38899e-010	-4.10392e-018	5.1904e-018	-1.66718e-017	2.97847e-010	-0.0377625 	0.130854   	-2.4452e-009	
3.4125     	8.43778e-010	8.0493e-010	-9.70982e-019	3.68938e-018	-1.91919e-017	2.58818e-010	-0.0375901 	0.128932   	-2.26862e-009	
3.45625    	8.48092e-010	7.7108e-010	1.81525e-018	2.24003e-018	-2.08479e-017	2.19342e-010	-0.0374211 	0.126782   	-2.08358e-009	
3.5        	8.51748e-010	7.38841e-010	3.88288e-018	8.95498e-019	-2.16376e-017	1.80894e-010	-0.0372624 	0.124407   	-1.8902e-009	
3.54375    	8.54762e-010	7.08637e-010	5.06198e-018	-3.40389e-019	-2.18465e-017	1.44668e-010	-0.0371203 	0.121807   	-1.68752e-009	
3.5875     	8.57174e-010	6.79158e-010	5.48186e-018	-1.53757e-018	-2.1902e-017	1.1043e-010	-0.0370008 	0.118985   	-1.47556e-009	
3.63125    	8.59014e-010	6.47826e-010	5.51403e-018	-2.81525e-018	-2.21539e-017	7.6283e-011	-0.0369102 	0.115958   	-1.25692e-009	
3.675      	8.60286e-010	6.1216e-010	5.58466e-018	-4.2812e-018	-2.27156e-017	3.95475e-011	-0.036854  	0.112754   	-1.03655e-009	
